Name,Rating,Pricing,URL,Latitude,Longitude,Transactions,Location,Phone,Display Phone,Distance,Reviews,Review Count,Cuisine,Restaurant ID,Number of Reviews
Da Andrea,4,$$,https://www.yelp.com/biz/da-andrea-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.736218,-73.99597,"['delivery', 'pickup', 'restaurant_reservation']","35 W 13th St, New York, NY 10011",+12123671979,(212) 367-1979,3526.365251890872,"[{'text': 'This small and crowded place seems to be a neighborhood favorite. Service is terrific and courteous, wine is drinkable...BUT the pasta we ordered came with...', 'reviewer': 'Veronika N.', 'reviewer_id': 'MSg_3-fj-ci1E13Kx8626Q', 'rating': 3}, {'text': 'Amazing pasta!! Literally cleaned our plates. Would definitely recommend for a birthday!', 'reviewer': 'Shiraz D.', 'reviewer_id': 'nnmfrjtA7k16dpn_WY1ceg', 'rating': 5}, {'text': ""Great food! (I just type these words to reach 85 characters. What?! Not 85 yet? Okay fine I'll just keep typing. Okay here we go)"", 'reviewer': 'Ke W.', 'reviewer_id': 'CLCYWYIRJfYqwS8puiczFA', 'rating': 4}]",3,"I, t, a, l, i, a, n",hdiuRS9sVZSMReZm4oV5SA,1851
LoveMama,5,$$,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.730408722512074,-73.98612673033213,"['delivery', 'pickup', 'restaurant_reservation']","174 2nd Ave, New York, NY 10003",+12122545370,(212) 254-5370,2645.0742832535648,"[{'text': 'Absolutely LOVED LoveMama!! As a college student in nyc, it can be hard to come by reasonably priced yet delish authentic cuisine. But LoveMama really...', 'reviewer': 'Shalini B.', 'reviewer_id': 'N3XWOXkiBw5-jCi1bWeEXA', 'rating': 5}, {'text': 'Stumbled upon this gem while wandering around the neighborhood. Me and my partner ordered multiple dishes, some including the chicken wings, pad see ew and...', 'reviewer': 'Andrea J.', 'reviewer_id': 'lUzcX1mvlNccnkP03E4E2g', 'rating': 5}, {'text': 'If you are looking for saucy noodles, this is your place! Fast service and the owner is very nice! Thank you!', 'reviewer': 'Allesha S.', 'reviewer_id': 'TfsmOLy8dxTL4xpmuSv4Sw', 'rating': 5}]",3,"T, h, a, i",jjJc_CrkB2HodEinB6cWww,6377
Ye's Apothecary,5,$$$,https://www.yelp.com/biz/yes-apothecary-new-york-4?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.71945,-73.9898,[],"119 Orchard St, New York, NY 10002",,,1638.7561148858936,"[{'text': 'Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back', 'reviewer': 'Chloe K.', 'reviewer_id': 'YvVgMUzdboi4yHy8xnuf5Q', 'rating': 5}, {'text': 'Great decor and ambiance. Yuzu shrimp, mushroom salad and soft shell crab were the highlights. Drinks were thoughtful and felt worth the price.', 'reviewer': 'Spencer M.', 'reviewer_id': '5wijpra6u7YAcJt8EkWKDQ', 'rating': 5}, {'text': ""Super great ambiance and fun drinks. Especially loved the music and vibe. Didn't eat but food looked yummy!! And Josh is the best bartender!"", 'reviewer': 'Jane M.', 'reviewer_id': 'mXzn01F4nq3d3rb9UNusdw', 'rating': 5}]",3,"S, z, e, c, h, u, a, n",8YWLuLUKj0t_0_Xv06UUtw,212
Joe's Shanghai,4,$$,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.7156608,-73.9967012,"['delivery', 'pickup']","46 Bowery St, New York, NY 10013",+12122338888,(212) 233-8888,1766.1760068543854,"[{'text': 'This is the third stop of our food tour as I have heard so much about this place from my east coast peeps. \n\nMy main purpose is to try their XLB. So, we...', 'reviewer': 'Yvonne Y.', 'reviewer_id': 'geiTAzYLbwS3qE4AW0OKiA', 'rating': 4}, {'text': ""I've been to the original location more than 10 years ago and that was the first time I've ever had Xioa Long Bao. I knew this place was famous and wanted..."", 'reviewer': 'Mabel L.', 'reviewer_id': 'z53uSRCr7BHaZ5Rmj03yCg', 'rating': 3}, {'text': 'Went here with some friends! Got here around 5:30 and got seated right away.However, when we left, the line to get seated was so long! We got there right on...', 'reviewer': 'Michelle C.', 'reviewer_id': 'CQ0BlKCZ_oOKhFodkCCHHw', 'rating': 4}]",3,"S, h, a, n, g, h, a, i, n, e, s, e",0CjK3esfpFcxIopebzjFxA,7098
Antidote,4,$$,https://www.yelp.com/biz/antidote-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.714253413118925,-73.96544806659222,"['delivery', 'pickup']","66 S 2nd St, Brooklyn, NY 11249",+17187822585,(718) 782-2585,1376.4943298782482,"[{'text': 'Excellent service & food! The drinks were so beautiful and unique as well.  The duck fried rice and cucumber salad are delicious! Will be returning :)', 'reviewer': 'Sabrina C.', 'reviewer_id': 'yRh9LmbDuTVsQjO-2-6_FQ', 'rating': 5}, {'text': 'Overall rating: 4.8\n\nI was a bit nervous coming here. In my eyes, Chinese in Williamsburg was either going to be really overrated or terrible food.\n\nBoy,...', 'reviewer': 'Olivia N.', 'reviewer_id': 'uaAJzWR1iipChDerr_hFkg', 'rating': 5}, {'text': 'Antidote has some fantastic Chinese food and is exactly what Williamsburg needed.  My friend and I ordered an obscene amount of food but in our defense...', 'reviewer': 'Najwa G.', 'reviewer_id': 'o9hU7o_3Kndp882PpLDcSg', 'rating': 4}]",3,"C, o, c, k, t, a, i, l,  , B, a, r, s",4DInnPhOyvXFbYpUdO0SMQ,325
Raku,4,$$,https://www.yelp.com/biz/raku-new-york-7?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.7264988089246,-73.9866526052356,"['delivery', 'pickup']","342 E 6th St, New York, NY 10003",+12122281324,(212) 228-1324,2236.6832822714764,"[{'text': 'Delicious food, there are heaters for the outside seating area so you stay warm, service was good, small wait time, which was appropriate considering it was...', 'reviewer': 'Veronika L.', 'reviewer_id': 'dK7aspoCEiscXm-GVGsghg', 'rating': 5}, {'text': ""The food was fine but the wait was heinous. \n\nI ordered the ebitan udon and the soup had a deep, clear flavor to it. The flavor of the soup wasn't fully..."", 'reviewer': 'Astro C.', 'reviewer_id': 'm8RJpzLOQFT8O3kmNorS4Q', 'rating': 5}, {'text': 'There was already a short line before it opened on Sunday. As a solo diner, I was seated at their counter seats. There were small cloth baskets on the floor...', 'reviewer': 'Hui L.', 'reviewer_id': 'F2P9_tATOMNbvUUxTVLHNw', 'rating': 4}]",3,"J, a, p, a, n, e, s, e",FlZ1zdVEKWv7dwqm8Uw8-w,1497
Time Out Market New York,4,$$,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.70342863348067,-73.99214637055226,[],"55 Water St, Brooklyn, NY 11201",+19178104855,(917) 810-4855,1193.3698868596266,"[{'text': 'Amazing food and so many choices. Time out is such a cool concept. Order and pay for food and wait with your buzzer to go and collect great food from a...', 'reviewer': 'Nikolai V.', 'reviewer_id': 'S_zjdAqSbPgUolZC_ZcJTg', 'rating': 5}, {'text': ""This was my first time to Dumbo. I've been to the Time out Market in Miami but the Miami location is nothing compared to this one. The food vendors are very..."", 'reviewer': 'Paulo I.', 'reviewer_id': 'M-r0VLraOhN1yqKvAf5cgw', 'rating': 5}, {'text': ""First time checking out the timeout market.  It's by the Dumbo area so I don't have a reason to come out to this area until today.\n\nIt's a compilation of..."", 'reviewer': 'Caroline N.', 'reviewer_id': 'K3hxQJx6OadJWYtDzY5lkg', 'rating': 4}]",3,"F, o, o, d,  , C, o, u, r, t",MGd6HFEq1ALD58XWNviSXw,464
Benemon,5,$$,https://www.yelp.com/biz/benemon-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.72551,-73.98838,"['delivery', 'pickup']","108 E 4th St, New York, NY 10003",+12126143006,(212) 614-3006,2182.23397844322,"[{'text': 'Good Japanese street food.\nGreat choice of sakes.\nQuick an kind service staff.\nReasonably priced.', 'reviewer': 'Joe S.', 'reviewer_id': 'pkppXY0hRJbXt6ELI_9X9Q', 'rating': 5}, {'text': ""I really love the unagi over rice bowl here. I think there are two, so if you're not sure which one to ask, just ask for the one with the bigger piece of..."", 'reviewer': 'Michael Y.', 'reviewer_id': 'RTTMsplbxNb61fujtFz23g', 'rating': 4}, {'text': ""I was really missing the amazing Izakayas in Japan so decided to stop by (Thursday for dinner - no wait) this cute place I've passed by, do yourself a favor..."", 'reviewer': 'Veronica H.', 'reviewer_id': 'jH4neSuhaxEoPGBmpNNK5Q', 'rating': 5}]",3,"J, a, p, a, n, e, s, e",axqp3pGJXnTLgq2QrPyDyQ,699
The Cabin NYC,5,$$,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.72393,-73.98383,"['pickup', 'restaurant_reservation', 'delivery']","205 E 4th St, New York, NY 10009",+12127770454,(212) 777-0454,1902.6406402573589,"[{'text': ""Amazing service and wonderful atmosphere!  The salmon and fried chicken were spot on and that's saying a lot coming from a South Carolina native!  Drinks..."", 'reviewer': 'Loribeth S.', 'reviewer_id': 'l3XRSA0wW-fv1O4ZnPAPWg', 'rating': 5}, {'text': ""Overall rating: 4.7\n\nI'm a bit of a sucker for a restaurant that has some good art. I've read the low reviews and it seems like there have been issues in..."", 'reviewer': 'Olivia N.', 'reviewer_id': 'uaAJzWR1iipChDerr_hFkg', 'rating': 5}, {'text': 'We stumbled upon this place because we were looking for a restaurant super close to where we were and found this gem.  The inside is very cute with a pretty...', 'reviewer': 'Erin P.', 'reviewer_id': '1aCkrY_g9DtKoIYDwUmovA', 'rating': 5}]",3,"A, m, e, r, i, c, a, n,  , (, N, e, w, )",J3NT61-AH5d5Gu5tFJhYSw,541
Taboonette,4,$$,https://www.yelp.com/biz/taboonette-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew,40.7346038818359,-73.9928283691406,"['delivery', 'pickup']","30 E 13th St, New York, NY 10003",+12125107881,(212) 510-7881,3260.3947146686423,"[{'text': 'I absolutely loved my meal at this hidden gem!! I ordered the warm kale salad, which came with chickpeas, sweet potato, carrots, citrus cilantro...', 'reviewer': 'Alexa R.', 'reviewer_id': 'YoWoFEwAa9xEXPr7QQ8Tzw', 'rating': 5}, {'text': 'Came here after a very exhausting flight for a simple dinner.\nSmall shop but really well maintained and clean inside with a cute design. Few spots to sit...', 'reviewer': 'Jason L.', 'reviewer_id': 'yKJtkxjwf7HhJazRLwDPAg', 'rating': 5}, {'text': 'Folks this is the real deal when it comes to Israeli food . I wish we had this quality in the Bay Area  in California . \nWe were passing by on a Thu noon ,...', 'reviewer': 'Yarn Y.', 'reviewer_id': 'Ck43vuJu1c399KZonEvLjQ', 'rating': 4}]",3,"M, e, d, i, t, e, r, r, a, n, e, a, n",owYYuyLvlsdjLz68c3SSfg,990
