Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Jane M.,/user_details?userid=mXzn01F4nq3d3rb9UNusdw,"Lower East Side, New York, NY",3/11/2023,5.0,Super great ambiance and fun drinks. Especially loved the music and vibe. Didn't eat but food looked yummy!! And Josh is the best bartender!
Suzy S.,/user_details?userid=EHzyAXsgzbpPr7vqZwm9mw,"New York, NY",2/25/2023,5.0,bangin drinks from bartender josh. food is wild. vibez r popping  definitely bringing my boyfriend here
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4.0,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5.0,No comment
Lauren S.,/user_details?userid=GXBN3DGZ8v8GmEQu7BtYAw,"Washington, DC",3/16/2023,5.0,"Food was delicious, and the vibe was great! We sat at the bar. Bartender was very nice, helpful, and knowledgeable about the menu. Great happy hour deals even on the weekend. Will definitely be going back again!",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole I.,/user_details?userid=k7PLDQzpvetTq0YKLZSikA,"Brooklyn, NY",3/27/2023,1.0,No comment,https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alan S.,/user_details?userid=-yEhhXT6URxh_yxHko5Gzg,"Brooklyn, NY",2/25/2023,3.0,No comment,https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lidia L.,/user_details?userid=4R6AYH2TPT-JN3UFqOFGMA,"Midtown West, New York, NY",4/8/2023,3.0,No comment,https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mike C.,/user_details?userid=37cpUoM8hlkSQfReIEBd-Q,"Forest Hills, NY",3/17/2022,5.0,No comment,https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Diana T.,/user_details?userid=UYt_QxysLskeEhEC1hPKVQ,"LITTLE NECK, NY",10/15/2022,5.0,"First time trying aguachiles- was blown away by the negro campechanos aguachiles. The habanero has a slow burn but it's the perfect level of heat. Also tried the Amarillo one which was also tasty, but has less of a kick. Loved the tostada de viera (raw scallops). The fish tacos had the perfect crisp. The pescado del dia Al pastor is also a must - it was branzino the day we ordered this and I was amazed at how they took out the bones while keeping the fish shape intact.",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Pradeepa A.,/user_details?userid=8665R8VZXuEB_yDZMDWAvQ,"London, United Kingdom",3/17/2023,4.0,Loved the food and ambience. The service team was great but took off one star for the horrible hostess.,https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kristen D.,/user_details?userid=1YkdlXY6MRpZsK1HZXMgvg,"Lansdale, PA",3/16/2023,5.0,"Quite the gem south of the Lorimer stop on the L! Outstanding aguachiles and ceviche, not to mention the most unique variety of salsas when ordering chips & salsa. Great happy hour deal as well (includes weekends!) most certainly will be back every time I'm in the neighborhood!",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emilé Y.,/user_details?userid=7DZ2qPS4zIeASFnPZCy84w,"New York, NY",10/15/2022,2.0,"Ceviche was okay but the tacos needed more sauce and flavor. Margaritas are very sour and not the best in Williamsburg. Unfortunately this place did not live up to its expectations and that knocks out three stars each (there were peels left on the shrimp in our ceviche). Our server was very nice though, but would not recommend this place. Much better tacos and Mexican food in WB elsewhere.",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joseph T.,/user_details?userid=SqVUNVeYJblyoUz4e-Fiqw,"Brooklyn, NY",3/23/2022,5.0,No comment,https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Serena M.,/user_details?userid=umYpF_1sbiTF7f3bebH9pg,"New York, NY",9/10/2022,5.0,"This restaurant should be on every foodie's must eat list!! The restaurant is a seafood focused Mexican restaurant and if you've been a fan of Contramar in Mexico City, you will love Ensenada! The super highlight of the night for me was the perfectly cooked butterflied roasted fish that came with fresh hot tortillas. Can't wait to be back for another fun mezcal and seafood night.",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle Q.,/user_details?userid=byK8pyh_uwjct65HnLsmuQ,"Manhattan, NY",8/4/2022,2.0,No comment,https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Diego D.,/user_details?userid=q-2cFer17LV5t3bikICHgA,"Upper East Side, Manhattan, NY",9/25/2022,5.0,"As Mexican Americans, my wife and I can say this is the best authentic Mexican seafood we've had in the five boroughs. The tuna tostadas and Al pastor fish are amazing and our go to. We've added this place to our list of favorites in the city. We'll continue to be back.",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Charlotte S.,/user_details?userid=KSrjmfcj1jp7_7hooPwuDw,"Manhattan, NY",1/15/2023,5.0,"A new favorite with incredibly fresh seafood, awesome drinks and great vibe. Amazing tacos and the patatas bravas are an underrated star. Love this spot",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Max M.,/user_details?userid=j6oLC0dWZhmijmKqyOf3XQ,"Los Angeles, CA",7/6/2022,5.0,"Absolutely spectacular! Our party of 3 got the scallop Tostadas, aguachile sampler, Branzino al pastor tacos and the hibiscus dessert. The Branzino al pastor were not just one of the best tacos I've had in NYC, but in my life (and I lived in Los Angeles for 6 years). That dish reminded me of Cosme's incredible kampachi al pastor, especially with the pineapple butter. My jaw essentially hit the floor after the first bite of the dessert, so complex and otherworldly. The service and drinks were major highlights too. Overall, would say Ensenada is one of Brooklyn's best-kept secrets and the trek from Manhattan is 1000% worth it.",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Modemme X.,/user_details?userid=OwQj9Zh5EpClVaXU_jWODA,"Brooklyn, NY",3/27/2022,5.0,"Went here last night. Food was incredible - salsa flight, chips and guac were amazing. The guac was too onion-forward for my friend (who is a chef btw for what it's worth) but no complaints from me! Tuna tostada appetizer was next. Chef friend had doubts before it came. She thought it was going to be one of those teensy tiny one-bites that you pop in your mouth. No chef! The tuna tostada app is full of flavor with a surprise of toasted sesame and each is the size of your palm - many bites. Next up was the aguachiles - which is a form of ceviche (raw fish in broth?). I had the verde version - bright green, fragrant, herbal, spicy. Chef had the negro - deep brown, lots of heat, rich, spicy. We had smoky mescal and a couple cocktails, too. All of it delicious! Good service too. I'd definitely go again.",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Camellia H.,/user_details?userid=IU4G9xdCj_D55YncjRa6Rg,"New York, NY",6/11/2022,5.0,"Food was amazing- the flavor packed in every bite was incredible. Service was also great and very nice staff. We ordered the guacamole, tuna tostadas, shrimp ceviche, fish tacos and patatas bravas. Already planning my next visit when I can do the whole order all over again!",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jane S.,/user_details?userid=J7ZHSZqlQbHxVLFEP5VpXg,"New York, NY",6/28/2022,5.0,"The food and drinks here at so awesome - and so good that I came to eat here two nights in a row. This is fish-forward, authentic, super fresh Mexican food the quality of which I would compare to Atla. Everything I've had so far has been delicious, and I can't wait to keep coming back for more aguachiles!",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
B. S.,/user_details?userid=Lpd3lqdCL4Lpibqqku2sYw,"Baltimore, MD",4/10/2022,1.0,"The menu is uninspiring and overpriced ($17 for 2 tacos, $15 for guacamole, $13 for chips & salsa), and I couldn't find anything I wanted to eat. I decided to leave, but the server was very pushy about ordering something, although I can't blame her because the place was completely empty on a Saturday night.",https://www.yelp.com/biz/ensenada-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
