Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Jane M.,/user_details?userid=mXzn01F4nq3d3rb9UNusdw,"Lower East Side, New York, NY",3/11/2023,5.0,Super great ambiance and fun drinks. Especially loved the music and vibe. Didn't eat but food looked yummy!! And Josh is the best bartender!
Raphaël T.,/user_details?userid=kSsH_P-iD3gc4L3m0U9y6w,"San Francisco, CA",3/9/2023,5.0,No comment
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4.0,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5.0,No comment
Chelsea B.,/user_details?userid=JCe0GTrYNCuh3B7-VYYt4A,"Los Angeles, CA",4/1/2023,5.0,"Amazing spot for some delicious dim sum and some awesome drinks. Cocktails of all kinds, whatever your in the mood for. My friends both loved their fried rice and one of them got crab fried rice.   we really liked master gao beer and our server, Faith was   my friend lives here and said she is the best server they've ever had in NYC"
Nicollet L.,/user_details?userid=8DT8ONjAQVth1jBPaVVKsg,"Brooklyn, NY",1/27/2023,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Geraldine E.,/user_details?userid=YheIxiKeEaVlJhhynUWhTw,"Brooklyn, NY",10/1/2022,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Portia Apple M.,/user_details?userid=B3lmbXoBrzVPv01o_bKUQA,"Albany, NY",1/29/2023,5.0,We went early on a Saturday night and had a reservation but there were plenty of tables. I didn't get any photos of the food because I inhaled it so quickly. I will be thinking about the anchovy butter carrots for the rest of my life. The wine selection is also really amazing. Dinner and 2 glasses of wine each for 2 people was exactly $100. I can't wait to come back! The service was amazing. The people who worked there were very sweet and attentive.,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tanya K.,/user_details?userid=8BTln1ElNdDY-lhRrqHj_Q,"Brooklyn, NY",4/2/2022,5.0,"So many years later, we still LOVE coming here! The food is consistently stellar as well as the service. The female chef (Ella I think?) is . Her food is made with passion and it shows. Peter and Cody are always fabulous to sit with at the bar. We love to chat with them and sip on their perfectly crafted cocktails. Don't sleep on the lamb. It's sinfully good!",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Victoria S.,/user_details?userid=MyuA2P4dSFAyEW5MyrkDyg,"Brooklyn, Brooklyn, NY",11/4/2022,3.0,"Cute place and vibe- my burger was amazing , lamb was good but the kale and mushroom side tasted like old fish and really killed our palette. Would have given this place more stars otherwise !",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Melissa D.,/user_details?userid=EVFXfdm06ZAZfb6q-KtB1A,"Rockville Centre, NY",4/1/2022,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Maria C.,/user_details?userid=ahpGnQeBW6F3HsgJnrk_IA,"New York, NY",11/19/2022,1.0,As a colombian- this is not Colombian. Location and open windows is nice but food did not hit for me.,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Meg L.,/user_details?userid=kzjVVwE-cFOKHA4O0QovJA,"Durham, NC",4/24/2021,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Butters B.,/user_details?userid=29l9wA6-AM8wrPvhDmCBLQ,"Hamburg, Germany",4/23/2022,1.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jared D.,/user_details?userid=D7Tk485PECNcONaytFmVNQ,"Manhattan, New York, NY",1/26/2023,3.0,"Very nice vibes and very nice service but the food and prices were way off. Burgers were 23 bucks and didn't come with any sides. Side of fries were not huge and cost 11 dollars. Rainbow carrots with an anchovy oil for 18 dollars. Frankly, just don't see how that lines up. Food was tasty, burger was a little weird though.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Warren L.,/user_details?userid=UD43IzGnKgZhRrZK1Tj4XA,"East Brunswick, NJ",6/11/2021,3.0,Went there on a Wednesday night. The place was pretty busy.  The wait staff said they were not quite prepared for the amount of customers.  With that being said.  The service was good and friendly.  The cocktails were good.  Atmosphere was hip.  The food was just ok.  Yuca fries was interesting and good.  The burrata was in a weird sauce. The roasted tomatoes were ok.  The empanadas were good. Pork belly was good.  And the Rib eye was just ok. It was a pleasurable dinning experience.  Not sure if I would go back,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Xiaowei W.,/user_details?userid=J5JFGk0xF67-7usZIUPcLQ,"Morningside Heights, Manhattan, NY",12/15/2022,5.0,"It's Colombian owned but the food style is European-esque, reminds of places in Basque Country. The burrata in squid ink leek sauce is amazing, I don't see anywhere is doing it in the city.",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Al S.,/user_details?userid=9ZT1pDaBkuU3OpSyeydFVw,"New York, NY",11/8/2021,5.0,No comment,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Natasha N.,/user_details?userid=iPMWuk86thWCSSRYF0Drsw,"Rego Park, NY",9/21/2021,1.0,I would never come back to this place everything over price for greasy and test less food very bad experience and sick after that,https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elizabeth P.,/user_details?userid=lGK9O4mERFJ8KrMsffLgkg,"Englishtown, NJ",3/8/2022,5.0,"absolutely delicious! they have this sauce that you can put on any of their dishes which was to die for (i'd love the recipe!). their chicharron was perfectly crisp and the wagyu brisket was amazing as well. for dessert, id recommend the panna cotta. servers were pleasant and so patient with all our questions",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Janet Z.,/user_details?userid=gzILMpu4yfCknUBccTHSgQ,"Dayton, South Brunswick Township, NJ",2/18/2022,5.0,"Super cute vibe with poster (keith herring poster!) and a bar. We ordered the empanaditas, yucca fries, wagyu brisket, and panna cotta. Everything was delicious and cooked amazingly and the service was friendly! The taste of the papardelle was so good and the texture of the yucca fries was crispy outside and soft inside. The panna cotta was amazing and smooth. Honestly everything was good and I'm definitely going back",https://www.yelp.com/biz/maite-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
