Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4.0,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5.0,No comment
Maggie L.,/user_details?userid=0jX7F7zLdfpctNMOyyV-Pg,"New York, NY",2/25/2023,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Minna C.,/user_details?userid=Xsgp8Wz3reyI_FNhbx15Jg,"Manhattan, NY",3/28/2023,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Veronica S.,/user_details?userid=3Q5zTJqUpcj678NPOUYc1A,"Graniteville, NY",3/23/2023,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kimmy U.,/user_details?userid=JpqpWvBQnJREquIQKvLfHQ,"Brooklyn, NY",3/20/2023,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rainey C.,/user_details?userid=p0INIwVGN4SQa_eBwXpMtw,"New York, NY",4/1/2023,5.0,"Sooo yummy! Absolutely loved this place and want to come back soon. We order 3 things for the table: the duck salad, vegetable fried rice, and the short ribs. All were amazing and packed with flavor. The kale in the salad is kept crispy, I have no idea how they do that but it's such a great pairing with the duck. The vegetable fried rice may *sound* plain, but it definitely isn't. It's super fragrant and is the perfect carb-y dish to go with any of the mains! The short rib sat on a creamy coconut curry sauce and came with a small side of crispy rice on the plate. The short rib was insanely tender and the meat fell right off the bone. Everything was delicious and this is easily at the top of my favorite Thai spots in the city now.",https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Samantha W.,/user_details?userid=ug8Fb7kFeJhQyfIX2seAPg,"Brooklyn, NY",2/27/2023,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Morlene C.,/user_details?userid=VLTBPUrbNRR-f84h-altQw,"Brooklyn, NY",1/31/2023,3.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
David L.,/user_details?userid=JdFklz9LG5s9v507fbPssA,"New York, NY",2/1/2023,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Victoria G.,/user_details?userid=C-i6LkYdVA-Sug0tWpWCWg,"New York, NY",1/7/2023,3.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Helena W.,/user_details?userid=hcvNEVqALm-ZQGnxzELPHw,"New York, NY",12/20/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emi B.,/user_details?userid=3lODYQrvcGriv5Fc2JdPOQ,"Manhattan, NY",12/6/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jordan W.,/user_details?userid=zYp2j3HxP_XEn6xdfD01Wg,"Manhattan, NY",2/14/2023,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Patricia P.,/user_details?userid=ntkuNfTs2qucAYqhx3ALzw,"New York, NY",12/7/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ruina Z.,/user_details?userid=jkezTIzk7faCr9Hn25SKAw,"Princeton, NJ",10/27/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Araya M.,/user_details?userid=kF8JRkSYKUp6CbvVMnbcfw,"New York, NY",2/6/2023,5.0,found a new lunch spot in soho!!! So goodddd southern curry over rice is my favorite. So rich and spicy . Tom Yum noodle soup is very authentic as well. Well I love spicy when they hit the spot I definitely recommend. Service is always attentive and friendly. Now I found a new spot to hang in soho. Love WanWan,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Iris H.,/user_details?userid=SHSF2Wj4OmUwygLUfUy8og,"Brooklyn, NY",11/15/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ryan P.,/user_details?userid=Xm3Di6-cKtYe9j0SaaeyzA,"New York, NY",11/12/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Heidi M.,/user_details?userid=DNWP_sf4Hblg4GnzskeXbQ,"Brooklyn, NY",8/18/2022,4.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nancy N.,/user_details?userid=tn--2U3T_GXuQjD0wWWXqQ,"New York, NY",7/26/2022,5.0,No comment,https://www.yelp.com/biz/wan-wan-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
