Amanda W.,/user_details?userid=8iPqvmePlT1e-DeDyZY0Ng,"Brooklyn, NY",10/22/2022,4.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amber P.,/user_details?userid=bexd3_xzByW5WCm_5y8omA,"Brooklyn, NY",8/19/2022,5.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
B F.,/user_details?userid=IxMYKym0xETELIe_vGS_gw,"Hell's Kitchen, Manhattan, NY",4/5/2023,5.0,"I've visited the Grotto BK on several occasions and each time I've always been impressed with their food and service. My favorite dishes are the Escovitch Shrimp, Grotto Pasta with Shrimp, and  their Mac + Cheese is 10/10!",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tremaine R.,/user_details?userid=QM_Irutg-UwxhFhyAyH0Sw,"Brooklyn, NY",5/15/2022,5.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nadine J.,/user_details?userid=sGKK6LgRX_JAKcmELaJcqw,"Brooklyn, NY",6/25/2022,3.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sherika H.,/user_details?userid=1a5oXBfqswOP_3YaxrxA7Q,"New York, NY",11/28/2022,4.0,I enjoyed my visit to the grotto! My favorite dish was the starfish and bake. They do have bottomless mimosas here which will definitely sneak up on you! You can also purchase hookah here guys! The spot is small but once you go to the back there's more room.,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dee B.,/user_details?userid=K32sKjTDgmK2irbhJoOKpQ,"Brooklyn, NY",8/7/2022,4.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shari D.,/user_details?userid=wpW0yW75HLahHY2H6s5vsg,"Washington, DC",1/15/2023,5.0,"If you're looking for great decor and even better drinks, look no further! Came in on a Wednesday for happy hour and enjoyed their fruit punch, 2 for 1 during happy hour!! We sat at the bar and were greeted by the owners daughter and then got a chance to chat with the owner as well.  Very down to earth family and service was great! Great set up with their DJ and hookah. The place gets packed very quickly so be sure to grab seats early, they have a variety of menu items as well! We'll be back for hookah!!",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shurida L.,/user_details?userid=o9AMDtTkautAP-LGaA-9_w,"Manhattan, New York, NY",7/18/2022,2.0,"The food was okay. I've had better shrimp and grits, the mimosas will get you drunk but the service was REALLY SLOW. It took forever to get our mimosa refills and brunch is only 90 mins so we probably each got 1 refill. We spent $83 each for brunch and it was not worth it. It's $40 for the unlimited mimosas PLUS the price of your meal which is something that should be explained because we all assumed it was $40 per person plus tax & gratuity. Even getting our water pitcher refilled took forever. Getting cups took a long time too. I don't know if it'll be worth it to come back to this place again. There's only seating in their outside area, the inside area is strictly a bar so no tables there. Our server was MIA most of the time we were there,  yet when it was time to pay the bill she hovered over us like we would run out on her.",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
renje g.,/user_details?userid=y94FS7iXvZp9QISUc0F__Q,"Brooklyn, NY",4/22/2022,5.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle O.,/user_details?userid=nw0UWlg-Tzl6lh2tgzWGNQ,"Brooklyn, NY",5/22/2022,5.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jumell A.,/user_details?userid=ccqF9SgCJd62EkRjzoqaig,"NY, NY",2/19/2023,2.0,"I had such a horrible experience there. The seating is located in an uninstalled extension of the outside. I wore my coat the entire time. Food took 2 hrs to come, plastic plates, no knives, Did I mention I was freezing, those outdoor heating lamps are not pushing out enough heat. No one has any hospitality training, however, the food was good but the overall experience would not allow me to recommend this place...",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alethia R.,/user_details?userid=BPvCFSgVHjER3GkmTqZ-YA,"Brooklyn, Brooklyn, NY",5/15/2022,5.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eric G.,/user_details?userid=uoWDU9qnifcoh5Msm3DfTw,"Paterson, NJ",1/15/2023,5.0,Food was amazing ! I had curry goat rice and peas with cabbage  . Also had the shrimp appetizers the Thai sweet chili shrimp and the escovitch shrimp that I would highly recommend! Service was great! I will definitely be coming back! Great experience!,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cheri G.,/user_details?userid=zXC_SO-XSxn313xsWEda_A,"Brooklyn, NY",5/30/2022,4.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Angie L.,/user_details?userid=Pvry1MVBPEUrfre_gA3FRw,"Brooklyn, Brooklyn, NY",12/3/2022,4.0,The food was amazing. I had the Rasta pasta and oxtail delicious. They also have drinks at reasonable price and hookah. I tend to go out by myself and the vibe was just right nothing,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Asiah C.,/user_details?userid=320H1mblckMOQOMnjEmhNg,"Brooklyn, NY",9/24/2021,5.0,Unassuming ... seemed so quiet. I was unsure if they was still open for the night. But i pushed pass my awkwardness  and headed to the back and the backyard was a vibe. The drinks are strong even though i don't see a full bar. The food was definitely made fresh to order and flavorful. I was craving oxtails. I had a decent serving for what i see places serve these days. I asked for my rice to side and ordered mac n cheese. Mac n cheese was good.  It was alot of rice and tasted really good. I'm not sure who created that meme that Jamaicans dont make good rice cause that's a damn lie. My sister got the jerk nachos which also came out fresh to order and tasted very good. I have been in the cut lately due to covida and glad i got to  experience a new spot,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cottoncanzy A.,/user_details?userid=B5XCPn9rB-fVgz-Z3m8rtg,"Queens, NY",10/27/2022,3.0,The wings &  mac & cheese was amazing but the service was TERRIBLE. Was going to order an actual entrée but the appetizers took so long that we didn't even want to order any more food from there. It isnt the servers fault since she was covering a bunch of tables but as the customer it isn't fair to pay an automatic 20% tip when the server was not attentive nor did she offer water or utensils for our table we had to keep requesting for something as simple as napkins. But they included tip automatically even tho it was just a party of 3. So yea might just order take out from here but never dining in. The ambiance was okay everyone was frustrated on how long the food was taking. A customer was saying how he waited over an hour for 5 wings :/,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jussjess J.,/user_details?userid=I--lV8VjJ-TM2A_GtZUQdw,"Bronx, NY",9/24/2022,4.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
LeLe R.,/user_details?userid=Wn0OQcQsSsJckfoNLqYz5A,"Brooklyn, Brooklyn, NY",8/13/2022,1.0,No comment,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shayna B.,/user_details?userid=k_xEpt8PGHaGuYFoqib0Zw,"Bronx, NY",7/26/2022,2.0,"I went to Grotto with a few of my friends for brunch and I'll start by saying I left full and we all left drunk. My chicken and waffles was good and so was my boyfriend's French toast. Now on to the not so stellar things. 1. The shrimp and grits was literally soup 2. There is only outdoor seating, inside is only a bar no tables. 3. They advertise 90 minutes of bottomless mimosas for $40 on the brunch menu but fail to mention that the $40 does NOT include food. 4. The service was super slow. In the 90 minutes I only got two mimosa refills because the waitress kept disappearing. But when it was time for us to pay she made sure to HOVER over us. Also they serve Caribbean food but had American hot sauce (Tabasco) which I found strange. All and all I would not go back.",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bianca O.,/user_details?userid=2Q5bEdZMWwQXZ7LQ6bG2OA,"New York, NY",6/23/2022,5.0,The food is absolutely AMAZING!!! The is the perfect spot close to home! Always great vibes and friendly staff! The Mac & cheese is my absolute favorite! Everything on the menu is excellent! Brunch on Sundays are a hit! Love here and it's walking distance,https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Deteisha S.,/user_details?userid=-9TnD5VTlydjd50QbJHtsg,"Westbury, NY",4/17/2022,5.0,"I love The Grotto BK!  Listen! It's like having your parents busting it down in the kitchen! The food better than  good, it is AMAZING! Authentic Jamaican food at it's best!  The staff is helpful and pleasant and make you feel at home.",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kesha R.,/user_details?userid=DkXPX2FanEXdxC5GCdZxAg,"Brooklyn, NY",5/29/2022,3.0,"Met up with my new friend here after work. First off the place is small there was only 2 tables in the front and they only seat 2 ppl per table. Next, they took forever and a day to come and take our order we sat at the table for at least 30 minutes before our order was taken. Nowwwww the wait for our food was longer than the wait for them to take our order and to make it worse they only brought out my friend food and I had to wait another 20 minutes to get mines. Lastly the drinks were pretty good  my we had the coconut Caribbean drink really good, I notice it was a popular drink because the little ppl they had in there had the drink. Moving on to the food my friend had Buffalo wings and fries she said it was good, I had Oxtails, white rice, cabbage and sweet plantains the oxtails was pretty tuff  they didn't fall off the bone I had to fight to get the meat off the bone however the gravy and everything else was good they even give you gravy on the side for your rice. And, lastly the music was good...",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Geraldine G.,/user_details?userid=9M1c74fw9byeUr5jEgRiow,"New York, NY",5/8/2022,1.0,"Tomatoes, Tomatoes... waited over an hour for food that never came. When I finally asked the waiter how much longer do we have to wait for our food, they said they're getting started on it now.",https://www.yelp.com/biz/the-grotto-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexis Andrew A.,/user_details?userid=7a4ZawIz7kMix_amLYMh5g,"San Francisco, CA",3/23/2023,5.0,Place is neat! friendly staff. They offer brunch Saturday and sundays! A must try Pork Skewers and their new item Pork sisig!,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dorothy Y.,/user_details?userid=TtV_gyu8vmuDz0S3fUlXig,"New York, NY",4/9/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah P.,/user_details?userid=PQRrKlyxZ8mJponoP8MU5Q,"New York, NY",3/12/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sean M.,/user_details?userid=xEds3QTyjjCIxnFEJCXCPg,"New York, NY",2/20/2023,3.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Barry J.,/user_details?userid=BwkPnIXGOL-t1uRJJDiqSQ,"Queens Village, NY",4/12/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vicki C.,/user_details?userid=tgX19R_1SnLnPGjuuNu7vQ,"New York, NY",1/7/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mandy K.,/user_details?userid=krziAgCMYW6suNxpBnABKw,"New York, NY",1/15/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andy L.,/user_details?userid=MOJBcjCHW-Kzbh53EscFBg,"New York, NY",12/31/2022,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kate S.,/user_details?userid=FqzpP2N7rf2er5f0OiubLg,"New York, NY",1/14/2023,5.0,"This is a really great little restaurant to get inexpensive dishes. I really enjoyed the vegan adobo, especially after putting some chili sauce on it. The coffee was good and woke me right up. The service was really nice and attentive. You can get plenty full and spend less than $20.",https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Louie S.,/user_details?userid=YOBbFr_xpQqOSeC_qrXVKA,"Astoria, Queens, NY",1/28/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
M J.,/user_details?userid=ub8yUayiW1gGqvz1D3RDCA,"Theater District, Manhattan, NY",4/8/2023,5.0,"Good eats and reasonable price. We got the shrimp shumai, the chicken wings, and the bbq pork w/ the macaroni salad. All were pretty good. I personally really enjoyed the wings, though I did add a little spice to them.",https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Deirdre L.,/user_details?userid=DPfnVtkPdnhPCAAuIEh3qQ,"Brooklyn, NY",1/5/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lily W.,/user_details?userid=G6jwo7dzd2ruygfQ3px0gA,"Brooklyn, NY",2/13/2023,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ruby B.,/user_details?userid=MEYoH8ChzmtYVrZRT6dRqA,"New York, NY",12/21/2022,5.0,No comment,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tay L.,/user_details?userid=28W9Al7UTVlD35Vk5s6hqg,"Jersey City, NJ",12/18/2022,4.0,Food was delicious and fresh. Fries could have been warmer. Prices are higher than I expected. Great customer service. A great addition to the neighborhood..,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Megan G.,/user_details?userid=FtjqziNGuMLkkdz5zWQGVg,"New York, NY",1/8/2023,5.0,Super tasty and authentic Filipino food here. The service is quick and all the food is great - I'd definitely recommend the lumpia and the pork siopao!,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Robert H.,/user_details?userid=2qhCaNTS6EG1Vc2gyhiT8Q,"North Salem, NY",1/11/2023,5.0,"I love this place, the food, and the people working in it. Our favorites include the ube sliders, pork bbq, and ube pao.",https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jocelyn A.,/user_details?userid=EmFcGe-YL1qEg1OmTA-D0g,"Fairfield, CA",3/1/2023,5.0,The best shumai & the ube Pao. I will come again.  Customer service is very good. No picture of the shumai cos we ate it all,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Henry M.,/user_details?userid=_IAMOxd7f2wlXIsRnCZpsg,"New York, NY",2/21/2023,5.0,The staff is great--they welcomed me and made great suggestions. The food is unique and really tasty. Their Sunday brunch includes Beef Tapa which is very flavorful.,https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Robert P.,/user_details?userid=Wm-eGjdnMmAsu18bzAof5Q,"NJ, NJ",2/13/2023,4.0,"Most tend to be dry, or overly oily, to the point where they become almost inedible. They were cooked perfectly here, and the filipino style sauce was delicious. Also enjoyed the veggie lumpia and ube pao for dessert. Loved the fast casual atmosphere and welcome, and staff. We'll be back!",https://www.yelp.com/biz/kalye-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Geraldine E.,/user_details?userid=YheIxiKeEaVlJhhynUWhTw,"Brooklyn, NY",2/20/2023,5.0,No comment,https://www.yelp.com/biz/cantina-33-ridgewood?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Evelin C.,/user_details?userid=bb0xYg9WZdgA5DNmAiRBsw,"Brooklyn, New York, NY",12/1/2022,4.0,"Cantina 33 is solid in my book. The place is small, clean, and colorful. The staff is friendly, and the service is fast. We always go off-peak. We have been more than a handful of times and never leave disappointed. My kid loves the chicken sandwich, and my sister-in-law and I love the margaritas. . Like others have mentioned, they include the tip, and I don't mind. I am sure they have their reasons for that. If I lived close, I'd be on the HH wave bi-weekly. I highly recommend anyone who loves margaritas to check out this place. I have had the salad and some other dishes, and they were good, but the main focus is always on the margaritas, and they always hit!",https://www.yelp.com/biz/cantina-33-ridgewood?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Samantha R.,/user_details?userid=iLsH1P80MsIkvRnA-T4PuQ,"Queens, NY",6/25/2022,5.0,No comment,https://www.yelp.com/biz/cantina-33-ridgewood?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
