Peter H.,/user_details?userid=1gpZXnZhfVYkKjWZXA7FzA,"New York, NY",12/8/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Maya A.,/user_details?userid=Li5IUx2H4eAgG_MvwHEqYg,"Brooklyn, NY",12/1/2022,4.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Craig Z.,/user_details?userid=Fbio_hP3XGglNvg2fIQzwg,"Brooklyn, NY",11/17/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tiffany A.,/user_details?userid=OIYCSJSc6vvsXOKl4lnhcg,"Queens, NY",12/20/2022,4.0,"This place has some of the best octopus and best drinks I've ever had. This was my first time coming to this spot and I'm so glad I finally stopped by. The waiter was very helpful in explaining the menu and making sure that my peanut allergy was known to the kitchen staff. We had the guac, charred octopus, Taco De tromps, and the Pork Tacos. Just know that everything comes pretty small so you've got to get a few different items to get full. The only reason why I can't give this place five stars is because I absolutely hated the dessert option. It was basically a fried churro type thing with cream but I felt the cream didn't have enough taste and that the fried crispy bits had no substance but that's just me! I'd love to see a few more dessert options for the dairy sensitive people. Other than that amazing, amazing restaurant with great ambience, really dim lighting, and wonderful food.",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenine W.,/user_details?userid=x6keDEBL0TsYlQRhRw_iZQ,"Brooklyn, NY",8/8/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dipali G.,/user_details?userid=YXIJM-CRQVh7i5S1nMrC9w,"New York, NY",8/28/2022,3.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Annika K.,/user_details?userid=uaep9vt6x5-weFipsyZyKA,"New York, NY",8/26/2022,4.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mercury C.,/user_details?userid=zXwW6n6kdy6N4JJrCvZ6Kw,"Brooklyn, NY",3/19/2023,4.0,"unexpected, excellent intimate atmosphere with large outdoor area. great cocktails and food, especially loved the yellowtail ceviche and the poached lobster. the duck breast was fantastic, particularly the stuffed heirloom corn dough. best tortillas i've had.",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicholas C.,/user_details?userid=X4Cfxum1Jo0M3aENcqkt0Q,"Brooklyn, NY",11/7/2022,4.0,"The thing I love most about living in Williamsburg is that when I think I've been to any restaurant worth visiting, I'm proven wrong on every occasion. My friend recommended Aldama when for lunch after we had spent the morning at Domino Park. I hadn't heard of the restaurant but my friend only had glowing things to say about it. We walked about 10 minutes from the park to the restaurant which is located in south Williamsburg. Aldama is a modern Mexican restaurant that's ideal for a special night out. The spot is on the smaller side with a large bar and table seating around that. When it came time to order we decided to get the guacamole as well as an assortment of canasta and trompo tacos which were amazing. We also had the house margarita which was equally exceptional. Come here if you find yourself in the area with a craving for quality Mexican dishes!",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tejas S.,/user_details?userid=QDC1vtUJArbXdvvZUO7ixA,"Little Rock, AR",4/1/2023,3.0,"Mmmmm. Meh. The drinks here are a little better than cocktails you'll get at most spots, but they're still not worth the $18 a cocktail costs at this point. It's also kind of silly that the Happy Hour only applies to the bar, but I just think that concept is lame in general. The food was tasty but what small portions! Their take on a carne asada taco was delicious, but overall there's nothing here to ever bring me back, unless my lovely girlfriend wants me to.",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gabby G.,/user_details?userid=PpPL_m6hJzIeHELRZOrz7w,"Brooklyn, NY",8/30/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Annalise W.,/user_details?userid=GNeUTdu9JWiEJgNdDL7Jkg,"Brooklyn, NY",3/2/2022,4.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Samantha R.,/user_details?userid=iLsH1P80MsIkvRnA-T4PuQ,"Queens, NY",9/10/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sam S.,/user_details?userid=7Ry0lORZ1_wdsGH-x4zSwA,"Brooklyn, NY",6/30/2022,2.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anjanie S.,/user_details?userid=iGMKUyQ4FPuDQupRYCMX4w,"Long Island City, NY",2/5/2023,4.0,"The dining room is zen boho like, the food is like I am sitting in Mexico City, and the drinks are unique. Really loved the service here and the food while celebrating my birthday here. That said they have a strict max on how long you can sit at the table which blows when you are with a larger party",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Isabella P.,/user_details?userid=oGQENgvftNwYph5BgFjTUw,"Los Angeles, CA",9/9/2022,4.0,"Very cute ambience, good music and nice service. The food thought is a bit disappointing. Chicken with mole was just sweet and lacked some freshness in all the dishes. Some vegetables would be great. The tacos were tasty but again fresh pineapples would be better than pineapple sauce.",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole D.,/user_details?userid=eXGl8C7HzaKhlfeEWYIXIQ,"Manhattan, NY",9/15/2022,4.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Art C.,/user_details?userid=fSPvk0Z_9eWm2kkUvhDJeg,"Brooklyn, NY",9/29/2021,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joseph T.,/user_details?userid=SqVUNVeYJblyoUz4e-Fiqw,"Brooklyn, NY",3/3/2022,4.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jerry L.,/user_details?userid=dXOV0wBcViWf7TYvy2ItbA,"New Rochelle, NY",8/22/2022,4.0,"This place is pretty unassuming when you first enter, you'd think this place was just a small bar with a few seats but when you get taken through to the seating area you'll see there is more indoor and outdoor seating. My friend made a reservation for Saturday at 5:30 and we were able to be seated right away. All the staff was very nice, we really liked the ambiance and the decor, one thing that was funny was the little water cup, now they did keep our cups filled but it was just enough to take a swallow of water before someone had to come back around and fill it up again. Now this menu is very unique and besides some things like guacamole this menu looked nothing like I'd ever seen in a Mexican restaurant, now that's not really a bad thing because the food was really good and of great quality, we got the guacamole which instead of being served with tortilla chips was served with 3 tortillas that were of the same consistency of a chip, no complaints it was great and had a little spice to it, you can tell they didn't over do it with salt and instead used herbs and spices, that's important to me. We got the duck appetizer which was unique and good, we also got the Taco De Trompo which also was good but really $9 for a taco? Now it was unique I have to give them that but really overpriced in my opinion, we shared the Asado which is a 26 oz steak, it's served with some cheese with fig we think and tortillas also with a green sauce, now the quality of this steak is great, well flavored but not overly seasoned and can easily be shared by 3-4 people, you definitely pay a lot for it but it's good, what I didn't like is when we finished the tortillas and were offered more we expected that it would be complimentary considering the amount we paid for it but I was disappointed later to see that we were charged for it, now in comparison to the price of the total bill it was small change but it's the principle in my mind, this is a unique place that is very pricey but it's also unlike any Mexican place I've been to before, the drinks are pricey as well, it's a good place to check out but for my budget I couldn't come here too often.",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Leemor Y.,/user_details?userid=geKimmY-EivI7AUMJr5ARw,"Brooklyn, NY",11/14/2021,3.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Christ Lyn C.,/user_details?userid=FarrAnprd1GORqxKEXoujQ,"Long Island City, New York, NY",1/23/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Demi E.,/user_details?userid=sXoYFw5w5q7y-iaysj-h4A,"Brooklyn, NY",5/5/2022,2.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica C.,/user_details?userid=l2BKLmsvlaTKMEPcZBDPCw,"New York, NY",10/27/2021,3.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tsvika K.,/user_details?userid=vDWv9kF8MGa3hKI1lTjsIw,"Manhattan, NY",5/4/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sugeidy P.,/user_details?userid=AE3mk3aiIpcGqbuIlgm3MQ,"North Riverdale, NY",9/18/2021,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kadeesha L.,/user_details?userid=t0yamaWKaSInp6AoVPmJZA,"Brooklyn, Brooklyn, NY",8/7/2021,3.0,"Come for happy hour!! Drinks are around 10$ and there are food specials as well! Otherwise wasn't too pleased with my actual meal. We ordered gauc and chips- the avocado was not ripe so there were big hard pieces in my gauc. Then for a party of 5 they gave us 4 chips. I also don't like these new ""chips"" which were small whole corn tortillas (so then you just break it up yourself). Didn't make sense for a big bowl of gauc. The mezcal based frozen drink was delicious but it went from 10$ to 14/15$? Same size, that's ridiculous. Come for happy hour otherwise not sure if it's worth your time. Nothing else we ate was really worth mentioning.",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jefe D.,/user_details?userid=cZJJPbAEUuSZKZ9nVdtuvA,"Weehawken, NJ",7/27/2021,5.0,"Great new addition in the Williamsburg area. Stopped by here with a friend to check it out and had a great time! The guacamole was outstanding and the cocktails were fantastic and worth trying. The happy hour was worth checking out, the server Vivian was very hospitable!",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vanessa M.,/user_details?userid=NFKmLgSECHU6SFoIcQKvVw,"New York, NY",9/26/2021,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ed S.,/user_details?userid=aQmWbPrv9KqUWSZOuIbRxw,"Manhattan, New York, NY",5/27/2022,5.0,"Excellent food! Amazing drinks , don't miss happy hours  high recommend, nice music good vibes",https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Claire S.,/user_details?userid=3mPkUv9ZaCJVqwY-1FREpg,"New York, NY",4/18/2022,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Isabelle B.,/user_details?userid=dNPA5a2PJcuXeKu-YQd1jg,"Hartford, CT",8/26/2021,4.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sydney L.,/user_details?userid=w0joRXU7UxbJVb2Pkn3nWg,"Newport Beach, CA",12/16/2021,5.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Noelle S.,/user_details?userid=_LBkkRxU_vBo0jenVnjHBw,"Manhattan, NY",1/10/2022,4.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julian E.,/user_details?userid=bpTz_LEixne6TL2-5tYFFw,"Laveen Village, Laveen Village, AZ",1/10/2022,1.0,No comment,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
matthew D.,/user_details?userid=9jgANSxppyr1JgVY2UoC9Q,"New York, NY",8/10/2022,5.0,Best tacos de trompo in nyc. Everything is super fresh and delicious. Definitely recommend,https://www.yelp.com/biz/aldama-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
