Leslie S.,/user_details?userid=oZ4JQMwXsljri_7FEFm12w,"Miami Springs, FL",3/22/2023,5.0,No comment,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yuki C.,/user_details?userid=RpM988LdI9pph29xMradBQ,"New York, NY",3/26/2023,4.0,No comment,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Adi M.,/user_details?userid=ymT4k1JshPA2sppWb-d31g,"Saline, MI",2/24/2023,4.0,No comment,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kimberly T.,/user_details?userid=aHDkI0NUbJ6EsbNC8Wm1kA,"Lincoln Park, NJ",12/18/2022,4.0,No comment,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
J M.,/user_details?userid=UBzKFUEjnr1UGNPLE2Jn_w,"San Diego, CA",1/17/2023,4.0,"This location is one of four throughout NYC. They had a great selection of pastries and treats like breakfast empanadas, petite French toast, and cruffins- as well as espresso based drinks *coffee is by Intelligentsia*. There is indoor seating along the window under the fiddles, and two communal counters with barstools. All gender bathroom, too! I would pay them a second visit for another try at more pastries.",https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sarah P.,/user_details?userid=PQRrKlyxZ8mJponoP8MU5Q,"New York, NY",1/22/2023,5.0,No comment,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Teresa H.,/user_details?userid=R8COa3qZ2-dUWURuXiUjRw,"Hurricane, WV",3/26/2023,2.0,"None of the drinks were very flavorful, mushroom latte especially just tasted like milk. But nice ambiance",https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rachael M.,/user_details?userid=2TVb_nXC9HO1jpwvu4XkKg,"New York, NY",1/13/2023,5.0,"Good coffee, a variety of pastries (including one vegan muffin), food, and both indoor and outdoor seating. It's very cute inside and outside and is a nice spot in the center of Dumbo.",https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sisi A.,/user_details?userid=_0sTPt1QNP2PHmNzKlBJQA,"New York, NY",11/14/2022,5.0,No comment,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lathon C.,/user_details?userid=D6s9lEKs44EXmK9fiMjYCg,"Atlanta, GA",12/3/2022,5.0,While in NYC Butler will always be a go to spot for me! While strolling through the Dumbo area I ran into this jewel of a spot. It's a favorite neighborhood spot and the locals are there in full effect. They are known for their coffee/espresso and freshly baked good. A long review isn't necessary; EVERYTHING WAS GREAT!!! Check out the pictures I've uploaded and check them out.,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jeongmin H.,/user_details?userid=bGvjbgdLfOQABjpNYN8h9Q,"Ridgewood, NJ",12/29/2022,4.0,Very cute interior - nice spot to do some work in! But drinks were pretty overpriced for the quality in my opinion.,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole N.,/user_details?userid=M9_HG4anjxT_u6yPVuWXXw,"San Francisco, CA",6/20/2022,4.0,No comment,https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Soeun H.,/user_details?userid=SnhYQUceE1hwCuoy-RQYHA,"Manhattan, NY",3/18/2023,2.0,"Coffee is always good but the price went up so much and I was charged for a tip I DID NOT pay, which is illegal. Ended up paying almost $7 for a coffee.",https://www.yelp.com/biz/butler-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
