Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Claire B.,/user_details?userid=tzQHvBKzCHWXWUQ9xdO55A,"Madrid, Spain",4/1/2023,5.0,"10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu shrimp, and crab fried rice."
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Sophia Z.,/user_details?userid=AVVRmRwJFsNDdLUvRy7oTQ,"Manhattan, New York, NY",4/14/2023,4.0,"Really cute Asian inspired speakeasy-esqué cocktail bar with some small bites. If you don't have a res, you will have to wait quite a while, so I would recommend that you make a res before coming. I got the HK Kong cocktail drink and it was quite sweet, with a hint of coffee. There was a bit of whipped cream on top and it tasted like a dessert liquor drink! Would recommend. The portion was a bit small but still very cute."
Tanya H.,/user_details?userid=EyxIGr0nzrPs-EwDYepymg,"New York, NY",4/14/2023,5.0,"Great ambience and interesting drinks. The Bird's Nest was very enjoyable, I liked the lollipop on top- it actually tasted like birds nest. Great place to chat with friends."
Nelson Y.,/user_details?userid=NUQWDdNpYjIdKauyVUBqDw,"Brooklyn, NY",4/15/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mandy C.,/user_details?userid=P6w7dWa9nwzzEeHg70mqfA,"Brooklyn, NY",3/27/2023,4.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amara R.,/user_details?userid=RVl4wNUwiOHN79rzvld5XA,"Brooklyn, NY",3/20/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Farrah B.,/user_details?userid=ARFM4LrI_zxogm1L29ZKng,"Brooklyn, NY",3/27/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kemi A.,/user_details?userid=eENfwrVhvOj5t7Gt1IKKAg,"Brooklyn, NY",3/8/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anna D.,/user_details?userid=SYJzu_zmWTKwVhWtMfGgtQ,"New York, NY",2/19/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mike C.,/user_details?userid=37cpUoM8hlkSQfReIEBd-Q,"Forest Hills, NY",2/7/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica S.,/user_details?userid=MMeVeBSE4TI4BDIAfRtQ0A,"New York, NY",2/17/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dara S.,/user_details?userid=Y8lxX_IC96PY3N8dmKAcXg,"Manhattan, New York, NY",4/14/2023,5.0,"I accidentally left a review on the wrong account (connected to my email not facebook) so leaving another lol. My favorite place ever, you are always kindly greeted by staff who also give you your food very quickly. The pasta is incredibly fresh, delicious, the best. It's less than $20, which is unheard of in NYC. I always look forward to going here. My goal is to go at least once a week. Everything is perfect. Love the new fort greene location with beautiful outdoor section. My favorites are the pipette ragu and spaghetti pomodoro. Love the panna cotta as well, classic and delicious. Everything is 12/10, infinity/10, always have an amazing experience, please try this place if you appreciate beautiful pasta. In addition to affordable pasta they give you free focaccia with your order. What's not to like.",https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
renje g.,/user_details?userid=y94FS7iXvZp9QISUc0F__Q,"Brooklyn, NY",3/14/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sean Y.,/user_details?userid=6oKbmpXiPKTeiNirWVUzvA,"New York, NY",3/17/2023,5.0,No comment,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ryn E.,/user_details?userid=CIhr-8qDcj_ZoBhc-5IZJQ,"New York, NY",4/2/2023,5.0,"Great location, service, and quality. Fun area to walk around in and very easy to get walk-in seating on a Saturday when we went. Lots of menu options and all so high quality, fast, and tasty. So glad I discovered this spot. Side salad and cauliflower tasty too. Pastas were awesome",https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jordan S.,/user_details?userid=3ynJu5QtBdTvdxK8YlSErw,"Brooklyn, NY",3/20/2023,5.0,"Just go. Don't even think, just go. There's no way you're leaving this spot unsatisfied. They put must put fairy dust in the food because this was the most magical meal I've had in so long. Plus the staff was so nice, we had several restricted diet questions and they were so kind answering even when they were in the middle of the rush and checked on us several times to make sure we enjoyed everything. Cute and intimate interior, but the real prize has to be the back patio which will be so lovely in the summer. So yes, just go you won't regret it.",https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ryan L.,/user_details?userid=5DQN9eXAQHn4f1NmYUEeNg,"Garvey, Alhambra, CA",3/27/2023,5.0,Food was great ! Best device in town. Very cute space. I'm from CALI and this was for sure bussin,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sydney C.,/user_details?userid=094O8nhGUbqdNH2UNHsvBg,"Valencia, Valencia, CA",3/13/2023,5.0,"Everytime i take anyone new here, they always say it's even better than i hyped it up to be. For the price, the quality is insaneeeee. The service at this location was so amazing. I love and recommend this place to everyone. The food is made fresh and some of the best pasta i've ever had everytime.",https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kate S.,/user_details?userid=xAvCQiD_S7jFYy8wZvU2Iw,"Brooklyn, NY",3/4/2023,5.0,"I'm thrilled for this second location of my favorite pasta in New York! The food is all as reliably delicious as ever--super fresh pasta, delicious sauces, fantastic sides, suuuuuper good focaccia... it's so nice to be able to get all this goodness further south in Brooklyn  and the back yard is particularly nice! A really lovely spot to spend the evening with a wine and maybe a cheeky dessert",https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mary N.,/user_details?userid=ot9CADgwZUDXKdD1148hXw,"Kingsbridge Court, Houston, TX",2/28/2023,5.0,5  for the hospitality. Seriously everyone was so kind and helpful. The food is offered at a very affordable price and it was yummy! My favorite was the cauliflower dish. Free bread is always a plus. Would recommend 100x. Interior is also clean and bright.,https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amanda B.,/user_details?userid=iySqV1Bspa1LwSfJfJqA-A,"Brooklyn, NY",4/15/2023,5.0,"This place is great the food is a good amount. The person who rang us up was very polite, the coffee was really good also. Overall great experience, will definitely be back!!",https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ori B.,/user_details?userid=ILLWV4yTMyo7HgOI2n66fw,"Brooklyn, NY",2/13/2023,5.0,"Went last week and had an incredible meal here for a fraction of what it would cost to get the same pasta at a fancy restaurant. Everything is so fresh (all of their pasta is made in-house) and just tastes soooo good. You literally can't go wrong with whatever you order but I especially love their pappardelle bolognese. So happy to have this amazing, affordable, ridiculously delicious pasta option in the neighborhood.",https://www.yelp.com/biz/forma-pasta-factory-brooklyn-3?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
