Rob W.,/user_details?userid=stIgmVcLEouAPa-lQyTFzg,"Brooklyn, NY",5/18/2022,5.0,No comment,https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Carol L.,/user_details?userid=LKaEiBYGBnB8Df1hUyEnLA,"New York, NY",10/18/2022,4.0,"Super romantic, French cuisine in the Atlantic Ave BK area. I came with my partner for a Valentine's Day dinner/ restaurant week dinner, and we thoroughly enjoyed our meal. It's been a little while since I've been there, but we actually enjoyed our appetizers more than our entrees. Who would've though that fried lemons were delicious?! (We got it as a part of a fried sardine appetizer). The duck entree was well done as well. A great cozy space in the neighborhood for sure.",https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Megan H.,/user_details?userid=WPboyo6FfML1a-Kq5N3bUg,"New York, NY",12/14/2021,5.0,No comment,https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mark D.,/user_details?userid=1aMREL-0BvkSLeRSTGZIyg,"San Diego, CA",2/23/2023,3.0,"I ordered the duck and was served steak, cooked medium-well, which the waiter insisted was duck. Absurd gaslighting nonsense",https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Najwa G.,/user_details?userid=o9hU7o_3Kndp882PpLDcSg,"Queens, Queens, NY",3/5/2022,4.0,"I've been frequenting Brooklyn more often and am glad that I have as the food is quite good there.  French Louie is a super cute French spot that I would highly recommend for brunch.  My friend and I just ordered some appetizers versus entrees as me being me, I wanted to try multiple different things.  We got the ahi tuna, steak tartare, and chicken liver mousse.  Albeit everything didn't have a ""ton of flavor"" so to speak, simplicity is sometimes what you need and everything worked for me.  Would definitely go back, but probably for brunch again because the ambience is very fitting for that IMHO.",https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Maryann E.,/user_details?userid=c6fhc9UmS-UauWGxSRVhXQ,"Queens, Queens, NY",2/8/2023,1.0,No comment,https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessica Y.,/user_details?userid=y5uN90wVioRJYaEeS_HVlg,"New York, NY",1/23/2022,5.0,No comment,https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chah L.,/user_details?userid=m5S4k-fqFfik2bEh8oPr3g,"Brooklyn, NY",2/18/2022,4.0,No comment,https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Francesca T.,/user_details?userid=S-ut7kIwWCCJEucMMcq4DQ,"Los Angeles, CA",10/7/2022,5.0,This was the best meal ever. The mussels were so different and creamy and mustardy. The fries were perfect. And this is weird but the Mayo was fresh and so delicious,https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sebastian B.,/user_details?userid=5dHXxE9eSKaAN3QlGXCUKg,"Santa Monica, CA",12/27/2022,5.0,"Had a lovely solo lunch here. Sat at the bar and had Moules Frites, and green salad, and a couple of glasses of Sancerre. The bartender was very kind and attentive. The salad, fries, and wine were delicious, but the mussels were a bit of a miss... not because they weren't fresh, but because the sauce was not my thing: cider, sour cream, and mustard may not be the best base for a mussel broth. If they went more traditional with it, it would have been perfect.",https://www.yelp.com/biz/french-louie-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
