Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Claire B.,/user_details?userid=tzQHvBKzCHWXWUQ9xdO55A,"Madrid, Spain",4/1/2023,5.0,"10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu shrimp, and crab fried rice."
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Sophia Z.,/user_details?userid=AVVRmRwJFsNDdLUvRy7oTQ,"Manhattan, New York, NY",4/14/2023,4.0,"Really cute Asian inspired speakeasy-esqué cocktail bar with some small bites. If you don't have a res, you will have to wait quite a while, so I would recommend that you make a res before coming. I got the HK Kong cocktail drink and it was quite sweet, with a hint of coffee. There was a bit of whipped cream on top and it tasted like a dessert liquor drink! Would recommend. The portion was a bit small but still very cute."
Tanya H.,/user_details?userid=EyxIGr0nzrPs-EwDYepymg,"New York, NY",4/14/2023,5.0,"Great ambience and interesting drinks. The Bird's Nest was very enjoyable, I liked the lollipop on top- it actually tasted like birds nest. Great place to chat with friends."
Daisy F.,/user_details?userid=L9qjHIxIFld6HH1YortqqA,"New York, NY",4/10/2023,3.0,"Unfortunately, my experience at this restaurant was less than satisfactory. The prices were quite high for the quality of food served. The portions were small, and the flavors were underwhelming. The atmosphere was also quite loud and not conducive to a relaxing meal. Would not return.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jackie L.,/user_details?userid=BIJpc_llguNGPz7ss0vXoQ,"Seattle, WA",3/6/2023,5.0,"Amazing restaurant paired with amazing food. Loan, the waitress we had was really friendly and accommodating through our dining experience, I was visiting New York and she made the experience so much better. Will be coming back next time I'm in town. Menu was large so it makes me excited to try everything else next time.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
LinhDan N.,/user_details?userid=kkT0pVgGl1MHclREyL38tA,"New York, NY",4/3/2023,3.0,Food is pretty mid. Nice decor. Service is nothing to really write about - standard nice enough server.,https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Snow T.,/user_details?userid=AxKPpdBVc8FLCnocFZU3vQ,"Fort Worth, TX",4/1/2023,5.0,"Love the atmosphere here. The decoration is super pretty. Host and waitress were nice, friendly and attending. The food was beyond my expectation! The short ribs literally melted in my mouth!",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kenneth T.,/user_details?userid=3Tg9axkzDeLzkhKfyLKQPA,"New York, NY",1/24/2023,4.0,No comment,https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jennifer F.,/user_details?userid=exAWpxarik6vghkh9h09yA,"Manhattan, NY",1/24/2023,4.0,"Ambiance is exceptional and the service is also great. They nailed it with the Tulum inspiration. We went for lunch and the guacamole & salsas were our fav. I had the chicken enchiladas (my shellfish allergy limits me) & my husband had the octopus, but we should have perhaps tried something else because neither of us were crazy about our dishes. We may go back to try other options from the longer dinner menu.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Blaq D.,/user_details?userid=K7tPveVS3iL8wcZu-_vtrg,"Mount Vernon, NY",1/29/2023,2.0,No comment,https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Allyson L.,/user_details?userid=F7Obr_Gxb8zZkh7BIX43Bg,"Reisterstown, MD",2/18/2023,5.0,No comment,https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Issy M.,/user_details?userid=G3V-xBWMq9KnQvZsM-24-Q,"New York, NY",4/1/2023,4.0,"This restaurant is absolutely beautiful inside. Definitely a great place for some amazing photos. We ordered the beet salad, the lobster soup, the red snapper, the chicken entree, and the corn cake. Everything was delicious with the exception of the chicken, they warned me that it was spicy, but it wasn't spicy at all, it was very salty and I could not eat more than a quarter of it. I felt that the chicken should have been deducted from my bill, but it was not. This place should have more staff to help with the service. What should have been a 90 minute dinner lasted a little over 3 hours. It took the waiter 30 minutes just to bring the check because he was so busy. The restaurant is not as big as it looks on Instagram, I would say there are about 20 tables. Therefore, there should be no reason why the service was so slow, I had plans afterwards that I needed to cancel because of the time constraint. None the less, it was worth the wait.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ajani B.,/user_details?userid=zz9ccL7LOIPKlNneGodTpg,"Bronx, Bronx, NY",3/31/2023,3.0,"The vibe & friendly waitress saved this place. The food was cool, but nothing that I'll ever need to have again. I received a text a few hours prior to my reservation letting me know that they recently lost their liquor license and they'd only be serving ""mocktails"", which was unfortunate. All in all, cool ambiance, very intimate, great staff.",https://www.yelp.com/biz/t%C3%A1n-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
