KJ W.,/user_details?userid=cZlk3MTGRcAVYP0ByOpc6Q,"Bayonne, NJ",1/22/2023,5.0,Recently went again and their happy hour deals/lunch special are amazing!!! Kimchi jigae is $12 and the korean fried chicken wings w fries is also $12 during lunch special. the soju cocktails are $7 (instead of 10) during their happy hour,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Seelia Y.,/user_details?userid=eoJD2n9tqTz7B4PoJ7-UVQ,"Brooklyn, Brooklyn, NY",9/16/2022,4.0,No comment,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alison A.,/user_details?userid=P1Mr1h7d5xeW8fhPLsT29w,"New York, NY",8/14/2022,4.0,No comment,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Linda Z.,/user_details?userid=YnTfpHDBdOB69y4lYflRoQ,"Manhattan, New York, NY",11/28/2022,4.0,Hidden away from the main area of Saint Marks but the food here is delicious. The creamy rice cake was so good I would recommend trying. Everything was very good and the servers were friendly.,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Brady K.,/user_details?userid=uO-6UxxRVbz85cOUnh5OBQ,"Lancaster, PA",10/29/2022,3.0,No comment,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ronny T.,/user_details?userid=-tCRfuS12ayAMo1SyudxYg,"Sunnyvale, CA",9/6/2022,3.0,We had the chicken and beef. Not really barbecue cause I think it was basically stir fried and put on a hot plate. Mediocre at best so disappointing cause Korean barbecue could be so good. I guess we should have gone to Korea Town but we just didn't want to go that far. The service was good though as the one lady serving us was very good. Maybe we have to try the noodle dishes if we come back.,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Darren H.,/user_details?userid=ynfC-PPKEiJTLI63vreWjQ,"New York, NY",9/10/2021,2.0,No comment,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kim X.,/user_details?userid=yVS0746EB5gBNGE8FG5p-w,"New York, NY",7/12/2021,4.0,No comment,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nl L.,/user_details?userid=YNHBUzWmqnHpik7lSfwpFQ,"Jersey City, NJ",7/2/2022,5.0,No comment,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenny N.,/user_details?userid=zXFdug0AI1VJuda6PZ_mUQ,"Brooklyn, NY",10/14/2021,4.0,Stopped by with friends for a late dinner. It was down in the basement. There was outdoor and indoor seating. We ordered dukbokki with cheese and meats. It was a bit heavy but it was good. We also got spicy tuna kimbap which hit the spot. I was honestly already getting full at this point. My main dish was the spicy pork bibimbap.  I felt like there wasn't as much spicy pork compared to other places I've been to. It seemed more like a veggie bibimbap. It still tasted good. The food definitely satisfied my Korean food cravings especially since we were not in ktown.,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sharon C.,/user_details?userid=Y9VVaJY4hbCzzWKXTSfTyQ,"Brooklyn, NY",9/7/2021,5.0,No comment,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Susan H.,/user_details?userid=PzH4ST9tj89S6jj3ttHfdQ,"Brooklyn, Brooklyn, NY",11/7/2022,5.0,Been here several times for the past few years; always easy to be seated without much of a wait. Definitely on the smaller end but feels quite comfortable to be seated and chat for an hour or two without being rushed. Left with a great impression every time. Food and service was both great. However this very last time we've been here we were served the free appetizers like the kimchi/pickles/cold salad but it's not really a big deal.,https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Emme M.,/user_details?userid=zJ8xIAEfgMwX01YdXnb9HQ,"New York, NY",1/31/2022,4.0,"We got takeout from here and every was pretty average. The spicy pork bibimbap had very little meat in it.  Tteok-bokki was just ok and quite bland. The only real saving grace here was the wings-- we got soy garlic, but they weren't that saucy which is how I like.",https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Stephanie W.,/user_details?userid=YkmMTGQYKt6CcxT19KAbNQ,"New York, NY",7/12/2021,4.0,"I've been to kook once before pre covid and tried the scallion pancake, cocktail drinks, scottish egg, and bibimbap. This time I got takeout and tried the Korean fried chicken wings and the cold noodles. It came with only one side dish though which was a little disappointing. The side dish was a potato salad. I really liked the chicken wings!! They were super crispy and crunchy but not oily at all. It also had a small container of pickled radish. The cold noodles were really good too and they had a container of the broth with ice in it. Easy to combine together and enjoy delicious Korean cold noodle. Also came with two tiny containers containing vinegar and a mustardy sauce. Highly recommend the Korean fried chicken here!!!",https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Melody L.,/user_details?userid=v1yudQnMoQFHkwn63N04Pw,"New York, NY",2/17/2022,5.0,"A hole in the wall in east village! Decent Korean food! The ribs were HUGE and well fried! Food's definitely on the heavier side, but very filling!",https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
H N.,/user_details?userid=pdz825z2TVBBKAa-fz_5nQ,"Brooklyn, Brooklyn, NY",2/12/2022,4.0,"I was craving good Korean ddukbokki and decided to try this place based on good reviews.  The dish was very good: chewy rice cakes cut into slightly longer pieces, well balanced spicy sauce, a hard boiled egg, and onions.  It would have been better had the fish cake pieces been more plentiful.  The delicious banchan included crunchy delightful kimchi and tasty potato salad.",https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Fatima S.,/user_details?userid=3dmKTVuMyjRcthNFwGzPHA,"Angwin, CA",7/2/2022,5.0,"We almost walked by this place without even noticing it. It's such a tiny little place but after seeing some of the reviews we decided to give it a try. We noticed they had a happy hour menu and decided to try the Korean Fried Chicken Wings with a bottle of soju, a vegetable Sun DuBu JiGae, the Vegetable GimBap, and a KimChi JjiGae. The GumBap was so fresh and amazing. The JiGae was also exactly what we needed since it was so gloomy outside and was even better with some rice. I had never tried Korean Fried Chicken and the one here did not disappoint. They had many flavors but we decided to take their recommendation and do the Spicy Soy flavor. They were crispy and juicy and Perfectly seasoned. It ended up coming out to $81 which was not too bad. The service was really great and if you're looking for a low key place with amazing food this place would be great. The only thing we found odd was that the BanChan were $3... didn't get photos of the rest of the food because we were so hungry but it was all amazing!",https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mehnaz H.,/user_details?userid=CEppSfQSo21tXFwBgNWEEg,"Manhattan, New York, NY",9/15/2022,5.0,"A favorite spot for casual hangout with friends and coworkers. The food is incredible, everything is affordably priced, and the vibes are super chill and laid back. Absolutely a hidden gem in the village!",https://www.yelp.com/biz/kook-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
