Lauren I.,/user_details?userid=OihjCxVPX4o-6n16g8L_wg,"Fountain Valley, CA",12/5/2022,4.0,"This was my third stop for a lobster role in NYC and it was great. My first was from the Luke's on the upper east side. Lobster was just as fresh and the roll was the same size. For a little takeaway stand, this is really good.",https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Peter T.,/user_details?userid=FUDCETjRBZR9KHPGiYH03Q,"Los Angeles, CA",4/8/2023,3.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Denise W.,/user_details?userid=jpIGlAym6z88W2xzHiK5_A,"Vancouver, Canada",5/6/2022,5.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yer T.,/user_details?userid=oti3QfK31v1wEeUs5mfaaA,"Sacramento, CA",5/16/2022,4.0,Dropped by here for a quick snack before lunch for the sisters. Cute little shake. Ordered a lobster roll. Per sisters it was yummy and not enough to go around . Would definitely dropped by again if in the area.,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Farrah B.,/user_details?userid=ARFM4LrI_zxogm1L29ZKng,"Brooklyn, NY",8/31/2021,4.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tamnhu B.,/user_details?userid=Jdb-oUJ8DYpH-DEbIVMN6Q,"Haymarket, VA",1/28/2023,5.0,Super delicious and yummy! Probably one of the best lobster rolls I ever had!  I would definitely come back!,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andie B.,/user_details?userid=Mu82DRjCMPxBdfaXW8a-tg,"Brooklyn, NY",7/29/2021,3.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jamie P.,/user_details?userid=tnlHjSth777JjaJwPLF_Rw,"Plano, TX",3/24/2022,4.0,"I had heard a lot of great things about Luke's Lobster, and their lobster roll lived up to the hype! I enjoyed eating it by Brooklyn Bridge, but I don't know if I would pay $24 to experience it again.",https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Xavier M.,/user_details?userid=5HKABr19gkyWmJvnJ-tkdw,"Little Elm, TX",10/29/2021,5.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Logan S.,/user_details?userid=niWQu6QFI0Orw2SG32m0kQ,"Los Angeles, CA",11/19/2022,4.0,"Luke's Lobster's location right next to the Brooklyn Bridge is an excellent place for a buttery lobster roll. I was visiting Brooklyn, after walking across the bridge from Manhattan, and thought I just had to try a roll. It was so buttery and tasty!",https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rachael F.,/user_details?userid=L5OvgvQnT7LPndASnZ782w,"North Hollywood, CA",4/15/2022,1.0,"I paid $39 for a tiny lobster roll that wasn't even good. The bun tastes better than the cold lobster served inside of it. Was looking forward to this place, but unfortunately very disappointed.",https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lillian L.,/user_details?userid=vldVxBaVkujEO-sXv6iRpw,"Queens, NY",8/6/2019,5.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tanika H.,/user_details?userid=eaPRyL3By-KBeIfWM-PIKw,"Brooklyn, Brooklyn, NY",4/20/2021,5.0,I ordered the lobster roll with extra lobster meal came with a bag of chips and a drink.,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tyler V.,/user_details?userid=5gY12dFBzyQHtIRi6TWujw,"Los Angeles, CA",2/22/2020,3.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ana B.,/user_details?userid=8nykdMQuFATbU0sxYCGGbg,"Silver Spring, MD",12/2/2019,5.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cindy W.,/user_details?userid=Oz_ZFRrYVbUKmqVy1MRauA,"CA, CA",10/10/2017,5.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nazarie S.,/user_details?userid=r13-rHqkEf1_TeyvX6M4sA,"Yorkville, Manhattan, NY",6/29/2020,4.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jive V.,/user_details?userid=R5JCqcuzFqz6l7FWafPEqw,"New York, NY",8/20/2020,4.0,"Solid lobster roll. A bit expensive, but it's lobster. Location is great, and the seating in the back is very nice in lieu of the COVID-19 situation we have going on. The lady taking my order was a gem, very friendly :)",https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Janine Y.,/user_details?userid=10ZAJdnNb0oFgqk50ymJag,"Manhattan, NY",8/23/2020,1.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tiffany T.,/user_details?userid=AsUvXYx9ZVn3IMJmAIwhYw,"West Covina, CA",7/7/2017,3.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kristen H.,/user_details?userid=uso25qPkjj3cUFh2ld9bCQ,"Rochester, NY",9/16/2019,4.0,Tasty but expensive! Lunch for two put us back $66.. for a walk up and order at the window and hope to find a seat! But everything was delicious and the setting unbelievable ... under the Brooklyn bridge!,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
J A A.,/user_details?userid=fVAml6-tQSfPjA-99YH04A,"Denver, CO",4/4/2021,3.0,No comment,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
