Justin N.,/user_details?userid=v27U3yDB8SfaN2uQZ6C1LQ,"San Francisco, CA",2/25/2023,5.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Satori Y.,/user_details?userid=JmAggMTqe1LTRNS2CFpPkg,"Eugene, OR",3/10/2023,3.0,"Ambiance was a 10/10. The music and decor was perfect for a girls night out or a date night. Service was a 6/10. Very attentive servers, but come off as trying to rush you and would clean your plate before you were done. Honestly slightly bizarre interactions with severs. Food was a 6.75/10, sushi itself was good and fresh but nothing ground breaking. The serving sizes were small. The wine serving size was outrageous. We ordered 5 glasses of wine instead of the bottle in order to receive more wine per person. Instead we received a bottle to split between 5 people and still charged the individual glass price. Overall a fine experience but nothing phenomenal.",https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Charles M.,/user_details?userid=zzP7CDBYjKoXP4g0b9ok4Q,"New York, NY",3/4/2023,5.0,Delicious yakisoba   Wonderful salmon skin roll  freshest sashimi  very flavorful miso,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Esther S.,/user_details?userid=UlXJP4fzVg-mLSluUnY5rw,"Washington, DC",4/12/2023,5.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jaclyn C.,/user_details?userid=kLOvp6kJN_56bjkiBs24hQ,"Brooklyn, NY",4/10/2023,5.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nian Z.,/user_details?userid=BxavkM_BhHF6ATkevBHuEA,"Brooklyn, NY",4/3/2023,4.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jen L.,/user_details?userid=ws8Y1fFTgEng2JIXqmJIcA,"New York, NY",3/27/2023,5.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kathy P.,/user_details?userid=3XOEahz5yXPa42XSqOykCQ,"San Francisco, CA",3/26/2023,4.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ellie C.,/user_details?userid=SFX3KGELw8VSbg6vtkw74Q,"Austin, TX",3/19/2023,3.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gwendolyn C.,/user_details?userid=9NpFVZ485ZchMVdsnkOn7g,"Manhattan, NY",3/17/2023,5.0,No comment,https://www.yelp.com/biz/momoya-soho-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
