Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Jane M.,/user_details?userid=mXzn01F4nq3d3rb9UNusdw,"Lower East Side, New York, NY",3/11/2023,5,Super great ambiance and fun drinks. Especially loved the music and vibe. Didn't eat but food looked yummy!! And Josh is the best bartender!
Raphaël T.,/user_details?userid=kSsH_P-iD3gc4L3m0U9y6w,"San Francisco, CA",3/9/2023,5,No comment
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5,No comment
Chelsea B.,/user_details?userid=JCe0GTrYNCuh3B7-VYYt4A,"Los Angeles, CA",4/1/2023,5,"Amazing spot for some delicious dim sum and some awesome drinks. Cocktails of all kinds, whatever your in the mood for. My friends both loved their fried rice and one of them got crab fried rice.   we really liked master gao beer and our server, Faith was   my friend lives here and said she is the best server they've ever had in NYC"
Tim O.,/user_details?userid=Krd1R9KZNk36XzM--kBr5A,"New York, NY",3/23/2023,5,No comment
Renata G.,/user_details?userid=JKGfEkxAcUJW4eMOzwF4tg,"New York, NY",2/3/2023,5,No comment
Robert G.,/user_details?userid=_K9sKlA4fVkWI4hyGSpoPA,"Clackamas County, OR",12/18/2022,3,No comment
Dilnoza K.,/user_details?userid=xSPsQ-6fsQHFpUbo8ulkAw,"Brooklyn, Brooklyn, NY",3/30/2023,4,"Dakos was incredibly tasty if you like oily salads, and meat platter was good because I was staring at chihuahua and he was staring me, I liked water though. Pure life."
Jessica G.,/user_details?userid=1dB-nSHBl4-zzX2IooLELw,"Kew Gardens, NY",3/15/2023,5,"Food is amazing and service is great.  Ask for Alivia.  If you're older, like me, get there early, fills up fast."
Vaishnavi N.,/user_details?userid=91OSldGDuZzW1YdwrTM6Ag,"Wood-Ridge, NJ",3/24/2023,3,"The place is so nicely done. We went on the weekend for lunch and did not have to wait, although we did not have a reservation. Service was quick. We got the spanakopita and it was great. Apart from that rest of the food we had was just okay. Briam was sautéed vegetables and it was pretty bland and even their fava dip. But sure if it's a good spot for vegetarians."
Caroline D.,/user_details?userid=aq-l9CMUuePj0JvhO3hvMw,"Brooklyn, NY",2/10/2023,5,"Kiki's is a real treat. Everything here is fresh and delicious. My personal favorite dishes are their horiatiki salad, lamb chops, tzatziki, & French fries. It's a really fun vibe, and a great place to come with a group of friends to share a couple of dishes."
Melanie I.,/user_details?userid=dfJJ9rJ3UBYtrSjLfCWhcA,"Pleasantville, NY",4/1/2023,5,Some of the best greek food I've ever had! Everything tasted so fresh and perfectly seasoned. Also loved the ambiance and cozy decor. Will definitely come back here!
K P.,/user_details?userid=_sJw1jyjm2ouKLfLV3hcBw,"ASTORIA, NY",3/31/2023,4,"Overall very good. However, the chicken entree was not edible and had that bad chicken smell/taste. My favorite dish was the lamb chops and zucchini chips."
Amanda D.,/user_details?userid=h8heJ6rmOEDyQAA6t7mGYQ,"Baldwin, NY",10/15/2022,4,No comment
Shelley L.,/user_details?userid=njdEeWSnf6_MEJNwiMmyFA,"New York, NY",10/19/2022,3,No comment
Alexandra S.,/user_details?userid=A0Eo8rrFvCsDxYFyoHCrhg,"Manhattan, New York, NY",9/4/2022,5,No comment
Rachel T.,/user_details?userid=M8AbAUFbYSOLcvJ9HIZBpw,"Manhattan, New York, NY",9/18/2022,4,No comment
Nicole G.,/user_details?userid=uc6LyEJ2s9xyE0vtAAGBig,"New York, NY",11/26/2022,5,No comment
Nancy M.,/user_details?userid=VypIQc0KFrcXCAvH5E_KCQ,"Centreville, VA",7/14/2022,4,No comment
