Shalini B.,/user_details?userid=N3XWOXkiBw5-jCi1bWeEXA,"Brooklyn, NY",2/17/2023,5.0,"Absolutely LOVED LoveMama!! As a college student in nyc, it can be hard to come by reasonably priced yet delish authentic cuisine. But LoveMama really checked all the boxes for me! The food was just amazing and the portion sizes were perfect. Not to mention the service was outstanding. Everyone there is super friendly and kind. We also got our food so fast. I would give it 10 stars if I could!! Had such an amazing experience there and I'm already looking forward to the next time!",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andrea J.,/user_details?userid=lUzcX1mvlNccnkP03E4E2g,"Vista East, Orlando, FL",2/19/2023,5.0,"Stumbled upon this gem while wandering around the neighborhood. Me and my partner ordered multiple dishes, some including the chicken wings, pad see ew and summer rolls and all were authentic and delicious. The service was also phenomenal as our server was lovely and suggested great food. Will be returning to love mama very soon.",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lucia C.,/user_details?userid=ptVxUqVrIH606H0vtwcS6Q,"Phoenix, AZ",3/25/2023,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cassie T.,/user_details?userid=pufWQBRS7neLwxF1ahXXVg,"Los Angeles, CA",3/11/2023,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cindy J.,/user_details?userid=grB1Dd00Aj7IvKs9l067WA,"New York, NY",2/24/2023,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Melissa M.,/user_details?userid=3w7A59yJ0DSOPKLJFLH5EA,"Brooklyn, NY",4/2/2023,5.0,What an absolute gem this place is! Super casual spot with down right delicious food. The service and staff were great and the food food came out super quick. I love that they have Malaysian food since this is a little harder to come by in the city and they are doing it right! The laksa was delicious!! We also tried the roti which was some of the best flakiest I've had and the dipping sauce was just perfect with it. I will definitely be coming back here again!!,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mickie K.,/user_details?userid=iybiAJB945fna9FQJa_zuQ,"Staten Island, NY",3/29/2023,5.0,I absolutely love this spot the food is amazingly decent and good at the same time. The portions for takeout is pretty good. I had a really good meal outta this spot. Highly recommended!,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lu H.,/user_details?userid=XFR4tfX0LFE079es_FlQzA,"New York, NY",2/11/2023,1.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sabrina P.,/user_details?userid=-cg5YzbDrrhQASiSN0RjTQ,"Manhattan, NY",2/4/2023,2.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Aiman S.,/user_details?userid=Ge8WyNeg2aDwwh-rSsg1NA,"Brooklyn, NY",1/25/2023,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tiffany P.,/user_details?userid=piX93kB6Ft7isp1jgOybSA,"Brooklyn, NY",1/20/2023,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Toby T.,/user_details?userid=LcdH_fYqvyzFBWM4UqfI0w,"Baltimore, MD",12/28/2022,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Austin S.,/user_details?userid=VBMnoYxaaSpJG2WtqqIsHw,"Manhattan, New York, NY",2/26/2023,3.0,Really liked the food but the server made a lot of race-related remarks which didn't land. Probably won't be back unless it's for takeout,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nelson Y.,/user_details?userid=NUQWDdNpYjIdKauyVUBqDw,"Brooklyn, NY",3/2/2023,5.0,"Lovemama is a hidden gem of a restaurant that serves up some seriously tasty Thai and Malaysian cuisine. Despite the quiet atmosphere, the owner was very friendly and welcoming, and shared how the pandemic has impacted the restaurant. The prices are a bit on the expensive side for the portions, but the food more than makes up for it. The Roti was especially delicious, and the Pad Thai and Pad See Ew were both cooked to perfection. The only downside was the lack of flavor in the Uncle Plump's dumplings, but my boyfriend enjoyed them nonetheless. Overall, Lovemama is a great spot to support during these challenging times, and is definitely worth checking out if you're in the area!",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ariela R.,/user_details?userid=DCO-V8LMagJKXqOVwM5AAQ,"New York, NY",3/26/2023,5.0,The food was just amazing. I would give this place infinite stars out of ten. The servers were very nice. Very welcoming place. As soon as you come in the smell of amazing food just hits you. But really if you are ever in the city this must be your number 1 spot to go to.,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yves A.,/user_details?userid=QTHIKzP9jb-3vyeUz3lMWQ,"Brooklyn, NY",2/13/2023,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andy K.,/user_details?userid=B3QE9SQ7zyYuemiqhA3hlw,"North Strathfield, Australia",2/19/2023,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Katey G.,/user_details?userid=NT5PIrm_5PMIvhKThayOIg,"New York, NY",2/5/2023,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amber M.,/user_details?userid=-td_9CInyuiJtKXSS2jCVg,"Belmont Shore, Long Beach, CA",2/4/2023,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rashid M.,/user_details?userid=r-Ck0JPoMfHI7h2X0brm2w,"Bayside, Queens, NY",12/2/2022,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andrea S.,/user_details?userid=a6cRVdR4SC1YFKZ0rosFiQ,"Manhattan, NY",1/29/2023,4.0,"I came here because I wanted to try the Malaysian food as my background is Malaysian. I liked the char kuey teow! It was flavorful and tasted authentic. We also got the roti canai (1 slice) and nasi lemak which were okay. Would not recommend the mango smoothie though, it was kinda watery.",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shan B.,/user_details?userid=wwZBc2nKXAn4Fq0ac6Yefg,"Sandy Springs, GA",4/3/2023,5.0,"I can one of the great gem we can across while we were in NYC. We loved the food, the service was amazing and the food was 10 out if 10. Definitely on my list again, when I am I am in NYC again.",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elaine W.,/user_details?userid=JUFi8YGqCIpEgUceD0OEVQ,"New York, NY",10/31/2022,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sisi S.,/user_details?userid=U0DNYKlkuG3IyFSBZxczZg,"KNICKERBOCKER, NY",3/6/2023,2.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Soorya A.,/user_details?userid=HhPOWDGe0roFzqBIicd0xQ,"Los Angeles, CA",3/5/2023,5.0,One of the best places in the city! My gf introduced me to it last fall and i've been hooked ever since. Everything is SO good and the menu is expansive so there's something for everyone. The staff is super sweet as well and have everything out v quickly!,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Madison C.,/user_details?userid=wnwhkC7lzo5J7m6pQWIFHg,"Piscataway Township, NJ",12/29/2022,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amanda L.,/user_details?userid=AMrhEi4bLvaAcC2XggeBsg,"New York, NY",9/3/2022,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sammi K.,/user_details?userid=qTXIR0b4em-eip1-I08jNw,"Brooklyn, NY",8/31/2022,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rehab K.,/user_details?userid=1MFlBJSkSiBG6eF_VNxrfw,"San Francisco, CA",12/24/2022,1.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex M.,/user_details?userid=WrBj5pBtfus7uVjhb3zwkg,"Santa Barbara, CA",9/9/2022,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Victor G.,/user_details?userid=9d7-Rm-9QzrQ8PYbfObqrg,"New York, NY",8/31/2022,2.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kiya S.,/user_details?userid=soptNJxZcSeiVvS-Xv_3Ag,"Manhattan, NY",2/20/2023,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tracy F.,/user_details?userid=uDpN4imS_B-sKlsDxcWA6A,"New York, NY",12/24/2022,1.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Abe L.,/user_details?userid=txJhusfn1XkWSxHEWTWqOQ,"Manhattan, NY",3/29/2023,5.0,Yumms many yumms yummy yums. Love yums. Yelp says too short so a couple more yummity yums,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gennie L.,/user_details?userid=DjC_soT7A3VOHbaOqAtnuA,"Boston, MA",7/30/2022,5.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Helen Y.,/user_details?userid=dfC1GMum2Oo1CpffodyE4w,"Champaign, IL",2/11/2023,5.0,"LoveMama still holds up! We got the Rendang, the curry laksa, and the mee goreng. All 3 were delicious! Also, the owner is so friendly. Highly recommend!",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Brandon W.,/user_details?userid=IiKtNnUuTqrcNRnTPWBtBw,"New Brunswick, NJ",2/19/2023,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Victoria K.,/user_details?userid=TMGy2L5vN6vOjcF83VJTkQ,"Manhattan, New York, NY",7/22/2022,4.0,No comment,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
