Georgia W.,/user_details?userid=_QGbefxATfyHNzAFt_EwCA,"New York, NY",2/20/2023,5.0,The best Peking Duck I've had in the city! Great food served with beautiful presentation.,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bing R.,/user_details?userid=seGbuDQHjihE7TE29cQYWw,"New York, NY",10/31/2022,3.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Stephanie H.,/user_details?userid=GUQ5Odz0dY_afWUEJOefEA,"New York, NY",10/22/2022,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jennifer L.,/user_details?userid=_RjKq8EKmD3CYUn7pFzrsQ,"Manhattan, New York, NY",11/2/2022,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Susan K.,/user_details?userid=DV258dzbMuSE7Ungvx3BqQ,"New York, NY",11/7/2022,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Your Mom's Y.,/user_details?userid=1F-IPccT6oLshLicNT6aow,"New York, NY",1/5/2023,4.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Suzanne C.,/user_details?userid=VXQ0gZsrgxiDPtnMmmAoaw,"District Heights, MD",1/29/2023,5.0,"Everything was delicious!  We enjoyed a whole peking duck (served with duck soup), beef fried rice,  house fried rice, shredded beef noodle, deep fried mini buns and vegetable dry bean curd edamame.  The edamame appetizer was SO good!!!   The duck was one of the best I've had- nice thin pancakes and great presentation.    Our only complaint is that we weren't given the bones.   Mini buns tasted like freshly made funnel cake.  This place is definitely a must try.  Bathrooms are clean and servers are attentive.",https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Brenda Y.,/user_details?userid=0eOqehSIuNtwVhRXZSMEcg,"Midtown East, Manhattan, NY",4/4/2023,5.0,"Peking duck is amazing, and they offer many different serving sizes. However, I do wish when I order a whole dock, it could be cut table side.",https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kenneth G.,/user_details?userid=t3K2TVDqQ8BeLjLcWOojAQ,"New York, NY",2/26/2023,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jessie L.,/user_details?userid=zw6f2FXJv714mNhio_GXig,"New York, NY",11/20/2022,5.0,This is a low key Chinese restaurant that serves the BEST Peking duck in the city. Everything we ordered are very good too. The place is clean and have a private dinning room with minimum spending requirement. Service is great. Highly recommended!,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Allan Z.,/user_details?userid=3hpFZ6v0j6Wk5StF9Ia0jg,"Campbell, CA",1/7/2023,4.0,Authentic Chinese food with some interesting twist. One of the highlights was the fancy hand sanitizer. The duck was juicy but a bit cold. The lamb skewer was a bit chewy. Service could be improved but understand that they just opened recently.,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gracie T.,/user_details?userid=cBCDPHgYIx3DjZ3xc6cKag,"Manhattan, NY",1/1/2023,5.0,"Came here on New Year's day. Fantastic food! Had the Peking duck, beef skewers, beef stew with puff pastry, shrimp in mustard salad sauce (mayo). All were great! Staff are friendly and attentive but service a bit slow. Definitely coming back and recommending to everyone!",https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Scott B.,/user_details?userid=H8FvvyWHs5BzEeRL-8v0kw,"Manhattan, NY",3/18/2023,5.0,Very tasty.  Peking duck prepared perfectly.  Wish they would take reservations on weekends,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
M T.,/user_details?userid=2OK4fVuYA7eLCFAsR9uJWw,"Dallas, TX",1/4/2023,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Julia F.,/user_details?userid=vasoHOo0oXzVuCIqPN2gRQ,"Los Angeles, CA",10/24/2022,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eddie F.,/user_details?userid=S3Nmoh8Qc6oNzOMObzNnuA,"New York, NY",3/6/2023,5.0,Best pecking duck I've had in a long time. All the dishes are absolutely delicious and the prices are very fair. Would recommend over and over again,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Wenpin T.,/user_details?userid=fHzspIhZU3i4EMmHKvgq2g,"Manhattan, New York, NY",11/12/2022,4.0,In general not bad. The source for Beijing duck tastes a bit weird to me. Ambiance is nice and service is good.,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Matthew L.,/user_details?userid=j7jyxdcfrq1wkKZreH0H5A,"Upper West Side, New York, NY",10/7/2022,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kaori Y.,/user_details?userid=UKudfv9ROSmzAiSL_Lp1Vg,"Flushing, NY",10/9/2022,5.0,No comment,https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mr K.,/user_details?userid=C7mbPXiFOvV6FMzVULos1Q,"Manhattan, NY",2/24/2023,3.0,"Food was delivered late, it was ok, not great, beef was the same color as the chicken, ( was it veal or something else) lacked flavor , we had to doctor it up a bit with some soy sauce and sesame oil.",https://www.yelp.com/biz/chef-huang-jian-bing-and-peking-duck-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
