Jennifer G.,/user_details?userid=U60_AeUUzNwuAkK9qRnfJQ,"Manchester, MD",4/4/2023,5.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
John S.,/user_details?userid=jlPVca7yfSXZ3a8DNjn9SQ,"Brooklyn, NY",3/11/2023,5.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sharina R.,/user_details?userid=G1-L6sMCSDc0yLTA0ORFFQ,"Woodside, NY",4/9/2023,5.0,Great service! The bartenders and servers were great! The ambiance was super chill and laid back. The food was great! The drinks were really good! Came here on Sunday Drag Bingo afternoon from 1:30-3pm. The host was so much fun! Great times,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amber P.,/user_details?userid=bexd3_xzByW5WCm_5y8omA,"Brooklyn, NY",1/9/2023,5.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
C. S.,/user_details?userid=DlhQkaxMOBV7hRkQHuKSiQ,"Manhattan, New York, NY",4/11/2023,3.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Allana D.,/user_details?userid=66aQlAX0nWEdJRks53pa-w,"Irvington, NY",9/21/2022,4.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kay. K.,/user_details?userid=6xkE1_wbT-3vEXI82aKPeA,"Brooklyn, NY",11/3/2022,3.0,This place is really laid-back you walk in and seat yourself but I think it maybe best to sit by the bar cause you have to go and get your own drinks but the cooks bring outs the food to your table natasha was at the bar and she cool it was only her on the floor working though and I don't know why but anyway ill be back just really laid-back place to just drinks and chat!,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dan W.,/user_details?userid=9p63f81IluIRLfBGkzrO9Q,"San Antonio, TX",3/27/2022,4.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Justin T.,/user_details?userid=Arl5HD89FncNZB8hRM4xGg,"Manhattan, NY",8/21/2022,4.0,"Great happy hour- $5 beers on draft, excellent selection of beers in the beer fridge in the back; solid smash burgers. Wings are a tad dry. Noticed a blue cheese burger added to their menu so I had to try it- have to say, the patties were a bit dry this time, and were a bit too heavily salted, so the burger overall was way too salty because blue cheese in itself is salty. But I guess that's not really a problem of it can be washed down with ice cold beer right?",https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Dwreck I.,/user_details?userid=ic6B9qJFLBmCPUdy8Hosog,"New York, NY",10/11/2022,1.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Roy A.,/user_details?userid=0VPsxfnUSzBSwJvSWkcnvQ,"Manhattan, NY",3/23/2023,5.0,"Great, lowkey atmosphere with a fantastic happy hour. Any the owner Megan is the sweetest. Highly recommend.",https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Phylis I.,/user_details?userid=o6nq4ALoEgj3UtxXqA5lAA,"New Haven, CT",3/14/2022,5.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Stephanie A.,/user_details?userid=bcBGhl8qcEjtKVJSmA-LcA,"Valley Stream, NY",9/16/2022,1.0,Came here with a group of friends. Walked in and no one greeted us so we assumed we could walk up to the bar and order our own drinks. Bartender was sooooo rude. None of the tap beers were labeled so I had no idea what they carried. Every question seemed to bother the bartender. We had one round of drinks and left. Never again.,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alex T.,/user_details?userid=Cvgx0kcGgWhSqKm33ZvM6A,"Boulder, CO",1/28/2023,1.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amber G.,/user_details?userid=_jrMZh3wWDthmmYSp6OfwQ,"Brooklyn, NY",7/22/2022,5.0,Cute neighborhood gem with a rockabilly vibe! They have the fanciest and most unique mocktails... there's even one called Optical Illusion that's made with N/A gin and egg white.,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jackie O.,/user_details?userid=Q4sZUiOszueD4vLZRjqq1w,"New York, NY",6/15/2021,3.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kimberly G.,/user_details?userid=ch4SoU-GMIGbbDw-ewh2mA,"Brooklyn, NY",11/24/2021,4.0,No comment,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shu Jin S.,/user_details?userid=UFcsAMlBDCOXz2iGvU7j9A,"Brooklyn, NY",6/22/2022,4.0,"Solid cocktails (I believe I went for the Giggle Juice), great bartender and my first time eating cheese curds (verdict: they are good). If you're in the area and in the mood for a drink, I'd definitely pop in here!",https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
