Giovanna P.,/user_details?userid=orQdiPYw-FL5dyoWmYx6KQ,"Brooklyn, NY",3/2/2023,5.0,No comment,https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenny C.,/user_details?userid=IRhpueRM0lSjFAqFAvuDsg,"Brooklyn, NY",12/8/2022,4.0,No comment,https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole D.,/user_details?userid=eXGl8C7HzaKhlfeEWYIXIQ,"Manhattan, NY",10/19/2022,5.0,No comment,https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lana L.,/user_details?userid=ih0l59VE93z8UN06RyUtSg,"New York, NY",4/15/2023,3.0,"What a total rip off!! The food was fine. But it was dish after dish of a piece of fish sitting in a sauce. No veggies (unless you count a few raw peas). No bread to sop up the endless parade of gravies and curries. No crispy textures or contrasting flavor elements. And a thimbleful of rice with our mouthful of tuna. The meal was fine. It was just outrageously overpriced for what it was. And beware: If you paid $155 pp on Tock for your reservation, that was not a deposit. You're still paying $255 for your $120 value meal and hoping the kind people at Tock refund your credit card weeks after your gullible purchase.",https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Thelma C.,/user_details?userid=6DJu3DjJ2r-vVwi36lNOGQ,"Brooklyn, NY",2/20/2023,5.0,"Outstanding and unforgettable dining experience at Clover Hill. We were blown away by the attention to detail, flavors, and execution of the menu. It's a small, intimate space perfect for a nice date (maybe not the first, make sure you like them ;)) or a group of 4-5. The service was also excellent and knowledgeable, considering there are 8-9 dishes per seating. I haven't been this excited about a restaurant in a very long time and hope they continue to do their thang!",https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jeanette W.,/user_details?userid=sjw0xZYu-PsugoGgdvJ8aw,"New York, NY",3/21/2023,5.0,"What can I say. I had dinner at Clover Hill restaurant in Brooklyn Heights to celebrate Lizettes birthday.  It was Michelin Star Chief Mitchell. I can say everything was 100 stars. Food. Service. Presentation. Staff = exceptional.  If you want an experience, this is the place to go. He did his thing. The food was exceptional.  Service was great. Pipper was our host and she was great. Very personal and engaging. Ambiance was awesome.",https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tony R.,/user_details?userid=IpGHTfyb5HnrxlcpmrFtrg,"Manhattan, NY",11/11/2022,3.0,"For all its great reviews and Michelin star, this restaurant was a disappointment.  The food was what one might see in a Michelin level of distinction.  Good, tasty, but not exceptional.  And it was expensive.  Two small rolls with butter was $15.  The other dishes were about a 25 percent higher than most recent two-star and many of the one star restaurants that we have been to in the last three months.  That would be about 12  restaurants.",https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joe Joe B.,/user_details?userid=KaQXmoL9fhITB4LEeorN5g,"Brooklyn, NY",2/25/2023,5.0,"Being totally honest, I came into this experience with lower expectations. I have had a few similar new one star restaurants in New York...especially Brooklyn that just seemed hype over execution. Enter clover hill. A (literally) hidden gem in an obscure corner of Brooklyn heights. Actually this block in Brooklyn is worth a visit alone. Chef charlie Mitchell is on his way to his second Michelin star very soon. He has taken fine dining and infused it with American spice and excitement. His delightfully filling menu is hit after hit. Once you enter the dark, moody, small interior you are greeted by a friendly and knowledgeable staff. The pace of the meal is just fine. The drink menu is streamlined but solid. If I have one note it is I would love some sort of menu to accompany meal service. Call me old fashioned but I like to read what I'm eating not just heat it. This is a seafood focused menu and I am fine with that. I'd even say no need to upgrade to the meat dish. Fish is what they do so go for the ride. The crab tart was a fun take on the dish and took me to summers on the boardwalk! I could eat that farro porridge every day! So delicious. Check it out!",https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Laila B.,/user_details?userid=5mMp0bAEJPiE6--btObZVw,"Oakville, Canada",7/21/2022,5.0,No comment,https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
B R.,/user_details?userid=HW-Qu92UIxkuXKex-uK4JA,"Queens, NY",1/28/2023,3.0,No comment,https://www.yelp.com/biz/clover-hill-brooklyn?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
